underlyingSym,underlyingName
CFFEX.IC,IC
CFFEX.IF,IF
CFFEX.IH,IH
CFFEX.T,10年期国债
CFFEX.TF,国债
CFFEX.TS,2年期国债
CZCE.AP,苹果
CZCE.CF,棉一
CZCE.CJ,红枣
CZCE.CY,棉纱
CZCE.FG,玻璃
CZCE.JR,粳稻
CZCE.LR,晚籼稻
CZCE.MA,甲醇
CZCE.OI,菜籽油
CZCE.PM,普麦
CZCE.RI,早籼稻
CZCE.RM,菜粕
CZCE.RS,菜籽
CZCE.SA,纯碱
CZCE.SF,硅铁
CZCE.SM,锰硅
CZCE.SR,白糖
CZCE.TA,PTA
CZCE.UR,尿素
CZCE.WH,强麦
CZCE.ZC,动力煤
DCE.A,豆一
DCE.B,豆二
DCE.BB,胶合板
DCE.C,玉米
DCE.CS,玉米淀粉
DCE.EB,苯乙烯
DCE.EG,乙二醇
DCE.FB,纤维板
DCE.I,铁矿石
DCE.J,焦炭
DCE.JD,鸡蛋
DCE.JM,焦煤
DCE.L,线型
DCE.M,豆粕
DCE.P,棕榈油
DCE.PG,液化石油气
DCE.PP,聚丙烯
DCE.RR,粳米
DCE.V,聚氯乙烯
DCE.Y,豆油
INE.LU,低硫燃料油
INE.NR,20号胶
INE.SC,原油
SHFE.AG,白银
SHFE.AL,沪铝
SHFE.AU,黄金
SHFE.BU,石油沥青
SHFE.CU,沪铜
SHFE.FU,燃油
SHFE.HC,热轧卷板
SHFE.NI,镍
SHFE.PB,铅
SHFE.RB,螺纹钢
SHFE.RU,橡胶
SHFE.SN,锡
SHFE.SP,纸浆
SHFE.SS,不锈钢
SHFE.WR,线材
SHFE.ZN,锌
