Metabolite,Compartment,Distribution
bigg.metabolite:adp,c,LogNormal|-7.980192632408556|0.0234213998727773
bigg.metabolite:amp,c,LogNormal|-8.310398467719669|0.03364332218368464
bigg.metabolite:atp,c,LogNormal|-6.332455441091454|0.01805586382462258
bigg.metabolite:glu__L,c,LogNormal|-4.240760146377415|0.2184749435651544
bigg.metabolite:gln__L,c,LogNormal|-7.057699928636268|0.042031645532689156
bigg.metabolite:asn__L,c,LogNormal|-8.532504969040017|0.10390908208627041
bigg.metabolite:asp__L,c,LogNormal|-7.3324003123334665|0.04748668604299542
bigg.metabolite:tyr__L,c,LogNormal|-9.584086737201252|0.07643504372045286
bigg.metabolite:arg__L,c,LogNormal|-6.944560501093458|0.18397769337209033
bigg.metabolite:ade,c,LogNormal|-12.093608705457086|0.04669446838755768
bigg.metabolite:phe__L,c,LogNormal|-10.008733329174905|0.20632985026529585
bigg.metabolite:gdp,c,LogNormal|-8.82367629492312|0.039813687304390916
bigg.metabolite:gmp,c,LogNormal|-9.448299483527494|0.15785025112866338
bigg.metabolite:gtp,c,LogNormal|-7.37039910161875|0.10260307238539951
bigg.metabolite:nad,c,LogNormal|-6.101663353138805|0.06421095875533028
bigg.metabolite:nadh,c,LogNormal|-8.979173350083927|0.574748675444822
bigg.metabolite:nadp,c,LogNormal|-11.826656469812605|0.07467506169871145
bigg.metabolite:nadph,c,LogNormal|-9.72240821081521|0.24381341088127617
bigg.metabolite:13dpg,c,LogNormal|-9.557594520972081|0.5701309713952345
bigg.metabolite:2ddg6p,c,LogNormal|-11.447710862889748|0.037444971323688236
bigg.metabolite:f6p,c,LogNormal|-8.989704424156386|0.06664067217440668
bigg.metabolite:dhap,c,LogNormal|-7.737550342969099|0.036628612836067234
bigg.metabolite:g6p,c,LogNormal|-5.751983803687496|0.02621386941143283
bigg.metabolite:6pgc,c,LogNormal|-7.68807176225367|0.0491720035247771
bigg.metabolite:pep,c,LogNormal|-8.643658993031387|0.08847224123376471
bigg.metabolite:pyr,c,LogNormal|-5.760428553872534|2.882507628391962
bigg.metabolite:fdp,c,LogNormal|-7.945008964948451|0.043112756898617204
bigg.metabolite:e4p,c,LogNormal|-10.62252100812141|0.027594233630981332
bigg.metabolite:r5p,c,LogNormal|-10.104444845258449|0.18566794649258372
bigg.metabolite:ru5p__D,c,LogNormal|-8.503787811172312|0.18820479153140857
bigg.metabolite:s7p,c,LogNormal|-6.762717299142815|0.09950317509977866
bigg.metabolite:xu5p__D,c,LogNormal|-8.57985021817224|0.17812542836365955
bigg.metabolite:cit,c,LogNormal|-7.4844191059625915|0.05071286911698871
bigg.metabolite:akg,c,LogNormal|-9.370080419609986|0.21740344274101278
bigg.metabolite:fum,c,LogNormal|-8.341151634931157|0.15115864122750222
bigg.metabolite:icit,c,LogNormal|-11.038874168485439|0.041281985958042555
bigg.metabolite:mal__L,c,LogNormal|-7.2779507165108885|0.03672727831763785
bigg.metabolite:succ,c,LogNormal|-6.872391233446025|3.533009055855484
bigg.metabolite:camp,c,LogNormal|-12.648371924903797|0.16138462233021864
bigg.metabolite:f1p,c,LogNormal|-10.773016960207443|0.1289592761784493
bigg.metabolite:gal1p,c,LogNormal|-9.719413186126463|0.11634601127770001
bigg.metabolite:glyc3p,c,LogNormal|-8.288820663116685|0.07400244227434875
,c,LogNormal|-8.358485562929|2.0031220490567656
,p,LogNormal|-8.358485562929|10.015610245283828
,e,LogNormal|-8.358485562929|10.015610245283828
,,LogNormal|-8.358485562929|2.0031220490567656
