Metabolite,Compartment,Distribution
bigg.metabolite:adp,c,LogNormal|-7.444130015512882|0.03218158643088782
bigg.metabolite:amp,c,LogNormal|-7.657807251638216|0.04245926632143792
bigg.metabolite:atp,c,LogNormal|-5.696507969335386|0.018243965526164915
bigg.metabolite:glu__L,c,LogNormal|-3.0931607689188962|0.02820274541436188
bigg.metabolite:gln__L,c,LogNormal|-5.4821756435702795|0.08737740936279355
bigg.metabolite:asn__L,c,LogNormal|-8.004313066334742|0.040492402736344676
bigg.metabolite:asp__L,c,LogNormal|-6.120534755619225|0.0526492887372668
bigg.metabolite:tyr__L,c,LogNormal|-9.159851822461903|0.11408634402550984
bigg.metabolite:arg__L,c,LogNormal|-5.63280778984113|0.32095067028848473
bigg.metabolite:ade,c,LogNormal|-11.709126659021727|0.04936292324477074
bigg.metabolite:phe__L,c,LogNormal|-9.224475042483103|0.13561547661251921
bigg.metabolite:gdp,c,LogNormal|-8.085656899705628|0.02155098919522085
bigg.metabolite:gmp,c,LogNormal|-9.091566720675335|0.3227760576833392
bigg.metabolite:gtp,c,LogNormal|-6.576739341144588|0.040040476118733896
bigg.metabolite:nad,c,LogNormal|-5.771290769576739|0.06518615899672446
bigg.metabolite:nadh,c,LogNormal|-10.224875606192109|0.2376508459653052
bigg.metabolite:nadp,c,LogNormal|-11.406482224786085|0.023827987752746253
bigg.metabolite:nadph,c,LogNormal|-9.439778370811062|0.10858303438765532
bigg.metabolite:13dpg,c,LogNormal|-9.580380879907196|0.1283061798211741
bigg.metabolite:2ddg6p,c,LogNormal|-12.264179750433387|0.1285364562146554
bigg.metabolite:f6p,c,LogNormal|-7.47299073225596|0.05807786773901755
bigg.metabolite:dhap,c,LogNormal|-7.447231006227398|0.24069149080693772
bigg.metabolite:g6p,c,LogNormal|-6.613760544969326|0.020668085210782353
bigg.metabolite:6pgc,c,LogNormal|-9.20410556353359|0.27436475542342165
bigg.metabolite:pep,c,LogNormal|-7.0980156892457185|0.08208009038685694
bigg.metabolite:pyr,c,LogNormal|-5.630046127618109|4.488625366012873
bigg.metabolite:fdp,c,LogNormal|-8.144539675949542|0.08016083074139828
bigg.metabolite:e4p,c,LogNormal|-10.646161633800181|0.05693444642062
bigg.metabolite:r5p,c,LogNormal|-9.445741340547457|0.8453805632132046
bigg.metabolite:ru5p__D,c,LogNormal|-8.395564299209173|0.10246403412031639
bigg.metabolite:s7p,c,LogNormal|-5.5458894974168|0.14090520474596205
bigg.metabolite:xu5p__D,c,LogNormal|-8.438782343916015|0.10129578052382616
bigg.metabolite:cit,c,LogNormal|-7.6791931792992365|3.6322414440797797
bigg.metabolite:akg,c,LogNormal|-6.974828212006964|0.07851559492418518
bigg.metabolite:fum,c,LogNormal|-5.405790400630765|0.12422985702233298
bigg.metabolite:icit,c,LogNormal|-11.138188177289269|0.08309604666979419
bigg.metabolite:mal__L,c,LogNormal|-4.526179435317284|0.04995426003133728
bigg.metabolite:camp,c,LogNormal|-12.077090908894041|0.15407578360869373
bigg.metabolite:f1p,c,LogNormal|-10.697831149106806|0.2226545627067917
bigg.metabolite:gal1p,c,LogNormal|-10.253328899744945|0.16254120816807735
bigg.metabolite:glyc3p,c,LogNormal|-8.024623364740709|0.2416486912287247
,c,LogNormal|-8.358485562929|2.0031220490567656
,p,LogNormal|-8.358485562929|10.015610245283828
,e,LogNormal|-8.358485562929|10.015610245283828
,,LogNormal|-8.358485562929|2.0031220490567656
