Metabolite,Compartment,Distribution
bigg.metabolite:adp,c,LogNormal|-7.7531577444350015|0.04322288622500246
bigg.metabolite:amp,c,LogNormal|-7.999528719759018|0.01824352498238036
bigg.metabolite:atp,c,LogNormal|-5.9869460353581925|0.02971298658691888
bigg.metabolite:glu__L,c,LogNormal|-3.515911631594382|0.017397564687503097
bigg.metabolite:gln__L,c,LogNormal|-5.792562417479848|0.06101752898750787
bigg.metabolite:asn__L,c,LogNormal|-7.709938180356166|0.1614429783891538
bigg.metabolite:asp__L,c,LogNormal|-6.750424855607602|0.09864318322128647
bigg.metabolite:tyr__L,c,LogNormal|-8.716959424041624|0.09960302136573561
bigg.metabolite:arg__L,c,LogNormal|-4.88404299797374|0.8694029035752338
bigg.metabolite:ade,c,LogNormal|-11.43667322574608|0.11858590652099732
bigg.metabolite:phe__L,c,LogNormal|-9.415202524357644|0.06900418533830305
bigg.metabolite:gdp,c,LogNormal|-8.594406575002976|0.05974693019927553
bigg.metabolite:gmp,c,LogNormal|-10.6164623156108|0.25602613697149185
bigg.metabolite:gtp,c,LogNormal|-7.099864133033584|0.024365617882556655
bigg.metabolite:nad,c,LogNormal|-5.831046760398192|0.027630040094646195
bigg.metabolite:nadh,c,LogNormal|-9.341017428204534|4.4356569889982564
bigg.metabolite:nadp,c,LogNormal|-11.738706613737888|0.03790958134929906
bigg.metabolite:nadph,c,LogNormal|-9.757768786585112|0.05989081367971338
bigg.metabolite:13dpg,c,LogNormal|-10.456104223925252|0.07989847194512732
bigg.metabolite:2ddg6p,c,LogNormal|-11.198041544485523|0.30233545926501215
bigg.metabolite:f6p,c,LogNormal|-8.152080438492078|0.12501846141777065
bigg.metabolite:dhap,c,LogNormal|-7.639761084158447|0.046231645491769995
bigg.metabolite:g6p,c,LogNormal|-7.486706898341546|0.056091815856856825
bigg.metabolite:6pgc,c,LogNormal|-8.348766760616819|0.11384573627686757
bigg.metabolite:pep,c,LogNormal|-8.664402894592568|0.07980917906668931
bigg.metabolite:fdp,c,LogNormal|-8.893429796225828|0.12281466574001877
bigg.metabolite:e4p,c,LogNormal|-10.76237927201374|0.03198486540216245
bigg.metabolite:r5p,c,LogNormal|-10.693378201428825|0.009031997407608633
bigg.metabolite:ru5p__D,c,LogNormal|-9.091036342854093|0.07500734997976694
bigg.metabolite:s7p,c,LogNormal|-5.821074452953263|0.053371043772479594
bigg.metabolite:xu5p__D,c,LogNormal|-9.187379077992198|0.12572543311513287
bigg.metabolite:cit,c,LogNormal|-5.327652073031074|0.07617796904777603
bigg.metabolite:akg,c,LogNormal|-7.898117266977245|0.3564177477379467
bigg.metabolite:fum,c,LogNormal|-7.440606938347385|0.15776981475988489
bigg.metabolite:icit,c,LogNormal|-8.316907726581386|0.09901217746884826
bigg.metabolite:mal__L,c,LogNormal|-6.880949533572694|0.03751129183119055
bigg.metabolite:succ,c,LogNormal|-7.121788530754094|3.8047860748967848
bigg.metabolite:camp,c,LogNormal|-12.514023963270706|0.03395686937852668
bigg.metabolite:f1p,c,LogNormal|-10.794131371349444|0.4759629551987469
bigg.metabolite:gal1p,c,LogNormal|-10.682685345852425|0.20204079678122172
bigg.metabolite:glyc3p,c,LogNormal|-8.511753431054226|0.21650894758421552
,c,LogNormal|-8.358485562929|2.0031220490567656
,p,LogNormal|-8.358485562929|10.015610245283828
,e,LogNormal|-8.358485562929|10.015610245283828
,,LogNormal|-8.358485562929|2.0031220490567656
