Metabolite,Compartment,Distribution
bigg.metabolite:adp,c,LogNormal|-7.908407709519154|0.007528283695400061
bigg.metabolite:amp,c,LogNormal|-8.107718709880801|0.01824263873683772
bigg.metabolite:atp,c,LogNormal|-6.178880427815623|0.04946411704540837
bigg.metabolite:glu__L,c,LogNormal|-3.625717498394169|0.033870808609574414
bigg.metabolite:gln__L,c,LogNormal|-6.273593054115186|0.022750544329123046
bigg.metabolite:asn__L,c,LogNormal|-8.153736255417641|0.647872630490392
bigg.metabolite:asp__L,c,LogNormal|-6.632589004425987|2.0265336408291446
bigg.metabolite:tyr__L,c,LogNormal|-8.63593139370134|5.2268873214757585
bigg.metabolite:arg__L,c,LogNormal|-5.954190680260972|0.11189181134428071
bigg.metabolite:ade,c,LogNormal|-11.903889476461087|0.06165263235552904
bigg.metabolite:phe__L,c,LogNormal|-9.362450302485193|0.036878802338524655
bigg.metabolite:gdp,c,LogNormal|-8.577056157037807|0.03020011287588722
bigg.metabolite:gmp,c,LogNormal|-9.629453997856988|0.07695256953504255
bigg.metabolite:gtp,c,LogNormal|-7.033299403868597|0.009265527494466812
bigg.metabolite:nad,c,LogNormal|-6.260046982067748|0.06030885581678196
bigg.metabolite:nadh,c,LogNormal|-9.55439406684887|0.1778132955584864
bigg.metabolite:nadp,c,LogNormal|-11.638785035976914|0.043125570888219104
bigg.metabolite:nadph,c,LogNormal|-9.522292141105453|0.04801685597421231
bigg.metabolite:13dpg,c,LogNormal|-10.251173548183548|0.14679544362697008
bigg.metabolite:2ddg6p,c,LogNormal|-11.986657389115333|0.1816892106407882
bigg.metabolite:f6p,c,LogNormal|-8.474934692287347|0.16113248447067122
bigg.metabolite:dhap,c,LogNormal|-6.3409832024677275|0.06367960578292761
bigg.metabolite:g6p,c,LogNormal|-8.227326833205357|0.14768024057592158
bigg.metabolite:6pgc,c,LogNormal|-10.48277704911748|1.81715770903622
bigg.metabolite:pep,c,LogNormal|-8.07164780413353|0.53761633419766
bigg.metabolite:pyr,c,LogNormal|-6.2043028347536024|2.0103034829745074
bigg.metabolite:fdp,c,LogNormal|-6.870646354865766|0.05822392537142899
bigg.metabolite:e4p,c,LogNormal|-10.770856653941335|0.4107140441338977
bigg.metabolite:r5p,c,LogNormal|-9.872883342732793|0.1914684993300561
bigg.metabolite:ru5p__D,c,LogNormal|-8.956742077170537|0.12948220811910693
bigg.metabolite:s7p,c,LogNormal|-6.629769617817184|0.14709583439218946
bigg.metabolite:xu5p__D,c,LogNormal|-9.013129439746127|0.1243897212687312
bigg.metabolite:cit,c,LogNormal|-7.9168172641829955|0.06626059502487519
bigg.metabolite:akg,c,LogNormal|-7.7901802363338835|0.10406711033938684
bigg.metabolite:fum,c,LogNormal|-8.044422573173371|0.204342384011511
bigg.metabolite:icit,c,LogNormal|-11.715400074892688|0.22977921985604283
bigg.metabolite:mal__L,c,LogNormal|-6.990576620861289|0.07797862628553891
bigg.metabolite:succ,c,LogNormal|-7.394217023651382|0.0863831193064316
bigg.metabolite:camp,c,LogNormal|-12.182061387302564|0.06882627450475973
bigg.metabolite:f1p,c,LogNormal|-10.362326825751778|0.1753398454531481
bigg.metabolite:gal1p,c,LogNormal|-10.697053346519597|0.8277432255634519
bigg.metabolite:glyc3p,c,LogNormal|-6.745070780354442|0.03476743505172739
,c,LogNormal|-8.358485562929|2.0031220490567656
,p,LogNormal|-8.358485562929|10.015610245283828
,e,LogNormal|-8.358485562929|10.015610245283828
,,LogNormal|-8.358485562929|2.0031220490567656
