Metabolite,Compartment,Distribution
bigg.metabolite:adp,c,LogNormal|-7.709599148750169|0.22891370311682577
bigg.metabolite:amp,c,LogNormal|-7.946136577271953|0.24635681356596556
bigg.metabolite:atp,c,LogNormal|-5.9876210666881455|0.24157673235435487
bigg.metabolite:glu__L,c,LogNormal|-3.590054834288788|0.32278064376351423
bigg.metabolite:gln__L,c,LogNormal|-6.10503253291326|0.425448753622441
bigg.metabolite:asn__L,c,LogNormal|-8.065681107744846|0.2516309292229513
bigg.metabolite:asp__L,c,LogNormal|-6.635530263612379|0.3213708036297249
bigg.metabolite:tyr__L,c,LogNormal|-9.278017297619435|0.41129705106748005
bigg.metabolite:arg__L,c,LogNormal|-5.634213258742673|0.8081940531619906
bigg.metabolite:ade,c,LogNormal|-11.67259403937232|0.37715676720928226
bigg.metabolite:phe__L,c,LogNormal|-9.487156742094655|0.26001580815097325
bigg.metabolite:gdp,c,LogNormal|-8.429216819908381|0.29269773062193327
bigg.metabolite:gmp,c,LogNormal|-9.673680542119875|0.5772115556710256
bigg.metabolite:gtp,c,LogNormal|-6.926864610193973|0.2928630817676347
bigg.metabolite:nad,c,LogNormal|-6.07020963771302|0.23660779890815806
bigg.metabolite:nadh,c,LogNormal|-9.697320274960921|0.9625473411983559
bigg.metabolite:nadp,c,LogNormal|-11.622459520696566|0.19593956054359618
bigg.metabolite:nadph,c,LogNormal|-9.446701607921714|0.2240131131973693
bigg.metabolite:13dpg,c,LogNormal|-10.002737795226805|0.29518624668350946
bigg.metabolite:2ddg6p,c,LogNormal|-11.633678980923866|0.4086268131603548
bigg.metabolite:f6p,c,LogNormal|-8.272516022205902|0.4084160627171774
bigg.metabolite:dhap,c,LogNormal|-7.037858110677849|0.5340755321545245
bigg.metabolite:g6p,c,LogNormal|-7.2307676910860765|0.7256371516958711
bigg.metabolite:6pgc,c,LogNormal|-8.747302084176237|1.0925886633972415
bigg.metabolite:pep,c,LogNormal|-8.077665142160448|0.4729208519345628
bigg.metabolite:pyr,c,LogNormal|-6.3511748253368925|0.6371995461470231
bigg.metabolite:fdp,c,LogNormal|-7.60155271274308|0.7578115739366947
bigg.metabolite:e4p,c,LogNormal|-10.744982917754065|0.17709048970013314
bigg.metabolite:r5p,c,LogNormal|-9.542754981120517|0.7977040625648903
bigg.metabolite:ru5p__D,c,LogNormal|-8.345245007554547|0.6614454019181372
bigg.metabolite:s7p,c,LogNormal|-6.1972320696916965|0.6897560291404694
bigg.metabolite:xu5p__D,c,LogNormal|-8.442195576221298|0.6370513527600962
bigg.metabolite:cit,c,LogNormal|-7.2073095039451545|0.7864492465064562
bigg.metabolite:akg,c,LogNormal|-7.879900125935237|0.6679009333854312
bigg.metabolite:fum,c,LogNormal|-7.378538604454199|0.8178024018570743
bigg.metabolite:icit,c,LogNormal|-10.971631545731501|1.1516337094486335
bigg.metabolite:mal__L,c,LogNormal|-6.440446470902875|0.7860360765481594
bigg.metabolite:succ,c,LogNormal|-7.038232979604001|0.19666620147510652
bigg.metabolite:camp,c,LogNormal|-12.61578463603898|0.4425414414943905
bigg.metabolite:f1p,c,LogNormal|-9.95348596166027|1.0438182972788022
bigg.metabolite:gal1p,c,LogNormal|-10.600779360972343|0.38681646521786023
bigg.metabolite:glyc3p,c,LogNormal|-8.34858523916647|0.7199186484341342
,c,LogNormal|-8.358485562929|2.0031220490567656
,p,LogNormal|-8.358485562929|10.015610245283828
,e,LogNormal|-8.358485562929|10.015610245283828
,,LogNormal|-8.358485562929|2.0031220490567656
