
# PINGSoft - Halpha narrow filter: CTIO-SINGS  CWL: 6586A  FWHM: 20A
# -------------------------------------------------------------------
# Original information:
#
# 6586-20  Halfa narrow set
# 2 x 2" both faces coated
# R. Gonzalez  Sept.18, 1993

# CWL: 6586

#  Wavelength  Transmission
     6546.00      0.00180
     6548.00      0.00180
     6550.00      0.00270
     6552.00      0.00280
     6554.00      0.00370
     6556.00      0.00480
     6558.00      0.00670
     6560.00      0.00970
     6562.00      0.01660
     6564.00      0.03160
     6566.00      0.05590
     6568.00      0.10000
     6570.00      0.18400
     6572.00      0.32330
     6574.00      0.52160
     6576.00      0.64440
     6578.00      0.71740
     6580.00      0.72810
     6582.00      0.71050
     6584.00      0.66490
     6586.00      0.61700
     6588.00      0.52200
     6590.00      0.35640
     6592.00      0.20090
     6594.00      0.13260
     6596.00      0.07050
     6598.00      0.04990
     6600.00      0.02680
     6602.00      0.01660
     6604.00      0.01150
     6606.00      0.00780
     6608.00      0.00630
     6610.00      0.00480
     6612.00      0.00400
     6614.00      0.00250
     6616.00      0.00250

