Intention to buy a Mazda,Gender,Age,Monthly family Income,Personal income,Marital status,City,Education Level household,Education Level,Social Class,When will purchase new car in months,TV ad x Mazda,Car Magazines Ad x Mazda,Online search x Mazda,Corporate website x Mazda,Internet Ad x Mazda,Test drive x Mazda,Car in dealer showroom x Mazda,Sales person at dealer x Mazda,Ads info in dealer showroom x Mazda,Car seen on street x Mazda,Professional reco mechanic etc x Mazda,Article in newspaper x Mazda,Car display in public places x Mazda,Actual Make of Car
3. Low,Female ,50,6,4,Divorced,Rio de Janeiro ,4,5,4,4,Maybe,Maybe,No,No,No,No,No,No,No,No,No,No,No,TOYOTA 
3. Low,Female ,18,8,4,Divorced,Brasilia/Goiania ,5,4,4,3,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,No,CITROEN 
3. Low,Female ,20,7,4,Divorced,Belo Horizonte ,5,4,4,4,Maybe,Maybe,No,No,No,No,No,No,No,No,No,No,No,CITROEN 
3. Low,Male ,62,6,6,Divorced,Sao Paulo ,4,4,4,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,FIAT 
3. Low,Female ,32,6,3,Divorced,Belo Horizonte ,2,5,5,4,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,VW 
3. Low,Male ,43,4,9,Divorced,Recife/Salvador/Fortaleza ,2,4,6,3,No,No,No,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Male ,25,3,3,Divorced,Sao Paulo ,4,4,6,4,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
3. Low,Female ,25,6,9,Divorced,Brasilia/Goiania ,5,4,3,5,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,FIAT 
3. Low,Male ,29,4,2,Divorced,Rio de Janeiro ,4,4,4,4,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
3. Low,Male ,32,6,3,Divorced,Belo Horizonte ,2,5,5,4,No,No,No,No,No,No,No,No,No,No,No,No,No,VW 
3. Low,Male ,22,7,6,Divorced,Sao Paulo ,5,4,3,3,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
3. Low,Male ,25,7,5,Divorced,Sao Paulo ,4,4,3,3,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
3. Low,Female ,20,5,4,Divorced,Rio de Janeiro ,5,4,3,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,FIAT 
3. Low,Female ,28,6,2,Divorced,Recife/Salvador/Fortaleza ,4,4,5,5,No,No,No,No,No,No,No,No,No,No,No,No,No,FORD 
3. Low,Female ,22,5,4,Divorced,Sao Paulo ,4,5,3,2,Maybe,Maybe,No,No,No,No,No,No,No,No,No,No,No,FIAT 
3. Low,Female ,21,5,2,Divorced,Sao Paulo ,4,4,5,2,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,FIAT 
3. Low,Male ,21,5,3,Divorced,Rio de Janeiro ,4,4,5,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,FIAT 
3. Low,Female ,23,7,4,Divorced,Rio de Janeiro ,5,5,3,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,FIAT 
3. Low,Male ,31,7,4,Divorced,Sao Paulo ,4,5,2,4,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
3. Low,Female ,30,5,3,Divorced,Rio de Janeiro ,4,4,4,2,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,FIAT 
3. Low,Male ,26,5,4,Divorced,Sao Paulo ,4,4,5,3,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
3. Low,Female ,34,5,4,Divorced,Sao Paulo ,2,5,4,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,HONDA 
3. Low,Male ,27,4,2,Divorced,Belo Horizonte ,4,4,4,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,FIAT 
3. Low,Female ,61,4,4,Divorced,Rio de Janeiro ,4,4,5,4,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
3. Low,Female ,46,4,3,Divorced,Sao Paulo ,4,4,6,5,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
3. Low,Female ,38,5,4,Divorced,POA/Curitiba/Floripa ,5,5,2,2,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
3. Low,Male ,25,3,3,Divorced,Sao Paulo ,4,4,4,2,No,No,No,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Male ,22,6,2,Divorced,Brasilia/Goiania ,5,5,4,2,No,No,No,No,No,No,No,No,No,No,No,No,No,FORD 
3. Low,Male ,35,5,3,Divorced,Sao Paulo ,5,5,2,3,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe, 
3. Low,Male ,25,3,3,Divorced,Sao Paulo ,4,4,5,3,No,No,No,No,No,No,No,No,No,No,No,No,No,FORD 
3. Low,Male ,41,5,5,Divorced,Rio de Janeiro ,5,5,4,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,FORD 
