Intention to buy a Mazda,Gender,Age,Monthly family Income,Personal income,Marital status,City,Education Level household,Education Level,Social Class,When will purchase new car in months,TV ad x Mazda,Car Magazines Ad x Mazda,Online search x Mazda,Corporate website x Mazda,Internet Ad x Mazda,Test drive x Mazda,Car in dealer showroom x Mazda,Sales person at dealer x Mazda,Ads info in dealer showroom x Mazda,Car seen on street x Mazda,Professional reco mechanic etc x Mazda,Article in newspaper x Mazda,Car display in public places x Mazda,Actual Make of Car
3. Low,Male ,27,4,2,Divorced,Sao Paulo ,4,4,5,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,FORD 
3. Low,Female ,19,8,9,Divorced,Sao Paulo ,5,4,4,1,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,HYUNDAI 
3. Low,Female ,36,5,4,Divorced,Sao Paulo ,5,5,4,3,No,No,No,No,No,No,No,No,No,No,No,No,No,FORD 
3. Low,Female ,30,6,5,Divorced,Sao Paulo ,1,5,2,5,No,No,No,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Female ,30,6,4,Divorced,Sao Paulo ,1,5,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Male ,24,4,4,Divorced,Rio de Janeiro ,3,4,5,5,No,No,No,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Male ,36,7,4,Divorced,Sao Paulo ,4,5,3,5,Maybe,Maybe,No,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Male ,56,5,5,Divorced,Belo Horizonte ,4,4,4,3,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,CHEVROLET/GM 
3. Low,Male ,34,6,4,Divorced,Belo Horizonte ,4,4,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,HONDA 
3. Low,Female ,35,5,5,Divorced,Sao Paulo ,4,4,4,6,No,No,No,No,No,No,No,No,No,No,No,No,No,PEUGEOT 
3. Low,Female ,19,5,1,Divorced,Recife/Salvador/Fortaleza ,5,4,2,3,No,No,No,No,No,No,No,No,No,No,No,No,No,HONDA 
3. Low,Female ,31,3,3,Divorced,Rio de Janeiro ,4,4,4,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,FIAT 
3. Low,Female ,31,7,3,Divorced,Rio de Janeiro ,4,4,3,4,Maybe,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
3. Low,Male ,33,5,5,Divorced,POA/Curitiba/Floripa ,4,4,5,4,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,HYUNDAI 
3. Low,Male ,36,5,9,Divorced,Sao Paulo ,2,5,4,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,HYUNDAI 
3. Low,Female ,37,6,6,Divorced,Sao Paulo ,5,5,4,4,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,No,No,HYUNDAI 
3. Low,Female ,19,5,2,Divorced,Sao Paulo ,4,4,4,5,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,HYUNDAI 
3. Low,Male ,33,5,5,Divorced,POA/Curitiba/Floripa ,4,4,5,5,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,No,HYUNDAI 
3. Low,Male ,24,7,4,Divorced,Sao Paulo ,4,4,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,HYUNDAI 
3. Low,Female ,65,8,5,Divorced,Belo Horizonte ,5,5,3,2,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,FIAT 
3. Low,Female ,29,5,5,Divorced,Sao Paulo ,4,4,6,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Female ,21,5,2,Divorced,Rio de Janeiro ,4,4,4,4,Maybe,Maybe,No,No,No,No,No,No,No,No,No,No,No,KIA 
3. Low,Male ,37,6,2,Divorced,Rio de Janeiro ,5,5,4,1,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,KIA 
3. Low,Female ,20,7,4,Divorced,Sao Paulo ,5,5,4,4,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,KIA 
3. Low,Male ,35,4,3,Divorced,Recife/Salvador/Fortaleza ,5,5,4,3,No,No,No,No,No,No,No,No,No,No,No,No,No,PEUGEOT 
3. Low,Female ,27,4,2,Divorced,Recife/Salvador/Fortaleza ,4,4,4,5,No,No,No,No,No,No,No,No,No,No,No,No,No,PEUGEOT 
3. Low,Female ,23,6,4,Divorced,Sao Paulo ,4,5,3,5,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,RENAULT 
3. Low,Female ,55,6,5,Divorced,POA/Curitiba/Floripa ,5,5,3,3,No,No,No,No,No,No,No,No,No,No,No,No,No,RENAULT 
3. Low,Female ,19,6,1,Divorced,Sao Paulo ,5,4,4,2,No,No,No,No,No,No,No,No,No,No,No,No,No,CITROEN 
3. Low,Male ,21,5,2,Divorced,Sao Paulo ,4,4,3,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,FORD 
3. Low,Female ,34,6,3,Divorced,Belo Horizonte ,4,4,4,4,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,VW 
3. Low,Female ,18,7,9,Divorced,POA/Curitiba/Floripa ,5,4,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,VW 
3. Low,Male ,20,5,1,Divorced,Sao Paulo ,4,4,4,6,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,VW 
3. Low,Male ,28,6,3,Divorced,Sao Paulo ,3,5,4,2,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,VW 
3. Low,Female ,38,5,4,Divorced,Sao Paulo ,1,5,5,3,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,VW 
3. Low,Male ,20,5,2,Divorced,POA/Curitiba/Floripa ,4,4,5,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,FIAT 
3. Low,Male ,19,4,9,Divorced,Sao Paulo ,3,4,5,5,No,No,No,No,No,No,No,No,No,No,No,No,No,VW 
3. Low,Male ,24,5,3,Divorced,POA/Curitiba/Floripa ,4,4,4,5,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,CHEVROLET/GM 
3. Low,Male ,19,5,1,Divorced,Brasilia/Goiania ,4,4,5,3,No,No,No,No,No,No,No,No,No,No,No,No,No,VW 
3. Low,Male ,33,8,2,Divorced,Brasilia/Goiania ,5,5,4,3,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,VW 
3. Low,Male ,41,3,3,Divorced,Recife/Salvador/Fortaleza ,5,5,4,4,No,No,No,No,No,No,No,No,No,No,No,No,No,VW 
3. Low,Male ,32,6,6,Divorced,POA/Curitiba/Floripa ,5,5,2,4,No,No,No,No,No,No,No,No,No,No,No,No,No,VW 
3. Low,Male ,23,5,5,Divorced,Sao Paulo ,4,4,4,1,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,VW 
3. Low,Male ,23,4,4,Divorced,Sao Paulo ,4,4,5,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,CITROEN 
3. Low,Male ,35,8,8,Divorced,Sao Paulo ,5,5,1,1,No,No,No,No,No,No,No,No,No,No,No,No,No,CROSS LANDER 
3. Low,Male ,29,8,8,Divorced,Brasilia/Goiania ,5,5,2,3,No,No,No,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Male ,41,5,4,Divorced,Recife/Salvador/Fortaleza ,5,5,5,3,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
3. Low,Female ,59,6,6,Divorced,Sao Paulo ,5,5,3,5,No,No,No,No,No,No,No,No,No,No,No,No,No,VW 
3. Low,Female ,39,6,6,Divorced,Brasilia/Goiania ,5,5,5,3,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
3. Low,Male ,24,4,4,Divorced,Recife/Salvador/Fortaleza ,4,4,5,4,No,No,No,No,No,No,No,No,No,No,No,No,No,CITROEN 
3. Low,Male ,64,5,5,Divorced,Sao Paulo ,5,5,3,3,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,VW 
3. Low,Male ,29,6,6,Divorced,Recife/Salvador/Fortaleza ,5,5,4,4,No,No,No,No,No,No,No,No,No,No,No,No,No,FORD 
3. Low,Male ,23,3,2,Divorced,Sao Paulo ,5,5,3,5,No,No,No,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Male ,34,5,5,Divorced,Brasilia/Goiania ,5,5,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,HONDA 
3. Low,Female ,33,3,3,Divorced,Brasilia/Goiania ,5,5,3,6,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
3. Low,Male ,24,5,5,Divorced,Sao Paulo ,5,5,3,3,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,HONDA 
3. Low,Female ,38,7,4,Divorced,Sao Paulo ,5,5,2,3,No,No,No,No,No,No,No,No,No,No,No,No,No,RENAULT 
3. Low,Male ,28,5,4,Divorced,POA/Curitiba/Floripa ,5,5,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,FIAT 
3. Low,Male ,36,4,4,Divorced,Sao Paulo ,4,4,4,2,No,No,No,No,No,No,No,No,No,No,No,No,No,HONDA 
3. Low,Female ,31,6,9,Divorced,Sao Paulo ,2,4,4,2,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Male ,49,7,7,Divorced,POA/Curitiba/Floripa ,4,4,3,5,No,No,No,No,No,No,No,No,No,No,No,No,No,HONDA 
3. Low,Male ,19,6,4,Divorced,Recife/Salvador/Fortaleza ,5,5,4,4,No,No,No,No,No,No,No,No,No,No,No,No,No,FORD 
3. Low,Male ,25,4,4,Divorced,Sao Paulo ,5,5,2,3,Maybe,Maybe,No,No,No,No,No,No,No,No,No,No,No,PEUGEOT 
3. Low,Female ,61,4,4,Divorced,POA/Curitiba/Floripa ,5,5,5,3,No,No,No,No,No,No,No,No,No,No,No,No,No,PEUGEOT 
3. Low,Male ,57,7,7,Divorced,Sao Paulo ,5,5,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,RENAULT 
3. Low,Male ,30,6,4,Divorced,Belo Horizonte ,4,4,4,3,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,RENAULT 
3. Low,Female ,37,6,6,Divorced,Brasilia/Goiania ,5,5,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,TOYOTA 
3. Low,Male ,43,6,6,Divorced,POA/Curitiba/Floripa ,5,5,4,6,No,No,No,No,No,No,No,No,No,No,No,No,No,RENAULT 
3. Low,Female ,51,6,6,Divorced,Rio de Janeiro ,5,5,2,2,No,No,No,No,No,No,No,No,No,No,No,No,No,KIA 
3. Low,Male ,22,6,6,Divorced,Rio de Janeiro ,5,5,4,2,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,CITROEN 
3. Low,Female ,52,4,3,Divorced,POA/Curitiba/Floripa ,4,4,5,5,No,No,No,No,No,No,No,No,No,No,No,No,No,VW 
3. Low,Male ,27,6,6,Divorced,POA/Curitiba/Floripa ,5,5,4,3,No,No,No,No,No,No,No,No,No,No,No,No,No,FORD 
3. Low,Female ,65,7,7,Divorced,POA/Curitiba/Floripa ,5,5,3,3,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,FIAT 
3. Low,Male ,32,6,6,Divorced,Sao Paulo ,5,5,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,VW 
2. Medium,Female ,21,4,4,Divorced,POA/Curitiba/Floripa ,4,4,4,3,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,CITROEN 
2. Medium,Male ,49,5,3,Divorced,Rio de Janeiro ,4,4,3,5,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,FIAT 
2. Medium,Male ,21,6,9,Divorced,Rio de Janeiro ,4,4,4,6,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,Yes,No,No,No,No,CITROEN 
2. Medium,Male ,36,4,4,Divorced,Sao Paulo ,5,5,2,3,Maybe,Maybe,No,No,No,No,No,No,Yes,No,No,No,No,VW 
2. Medium,Female ,18,5,3,Divorced,Sao Paulo ,4,4,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,MITSUBISHI 
2. Medium,Female ,20,8,3,Divorced,POA/Curitiba/Floripa ,5,4,2,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,VW 
2. Medium,Male ,38,7,7,Divorced,Sao Paulo ,4,4,3,2,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,FIAT 
2. Medium,Male ,27,7,5,Divorced,Sao Paulo ,5,5,1,3,No,No,No,No,No,No,No,No,No,No,No,No,No,VW 
2. Medium,Male ,25,5,5,Divorced,Rio de Janeiro ,5,5,3,1,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,Yes,No,No,No,FIAT 
2. Medium,Male ,21,5,1,Divorced,Recife/Salvador/Fortaleza ,5,4,4,5,No,No,No,No,No,No,No,No,No,Yes,No,No,No,FIAT 
2. Medium,Female ,21,6,3,Divorced,Belo Horizonte ,5,4,2,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,Yes,No,No,No,FIAT 
2. Medium,Male ,29,7,5,Divorced,Sao Paulo ,5,5,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,Yes,No,No,No,FORD 
2. Medium,Female ,21,4,2,Divorced,Belo Horizonte ,4,4,4,3,No,No,No,No,No,No,No,No,No,Yes,No,No,No,FORD 
2. Medium,Male ,56,7,6,Divorced,Brasilia/Goiania ,5,5,3,3,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,No,No,No,HYUNDAI 
2. Medium,Female ,26,3,3,Divorced,POA/Curitiba/Floripa ,5,5,2,4,No,No,No,No,No,No,No,No,No,Yes,No,No,No,PEUGEOT 
2. Medium,Male ,33,4,1,Divorced,Rio de Janeiro ,4,4,4,6,Maybe,Maybe,No,No,No,No,No,No,No,Yes,No,No,No,RENAULT 
2. Medium,Male ,54,5,5,Divorced,Rio de Janeiro ,4,4,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,Yes,No,No,No,VW 
2. Medium,Female ,22,4,9,Divorced,Brasilia/Goiania ,1,5,4,6,Maybe,No,No,No,No,No,No,No,No,Yes,No,No,No,KIA 
2. Medium,Female ,27,7,6,Divorced,Brasilia/Goiania ,5,5,3,5,No,No,No,No,No,No,No,No,No,Yes,No,No,No,TOYOTA 
2. Medium,Female ,31,8,4,Divorced,Brasilia/Goiania ,5,5,3,5,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,Yes,No,No,No,TOYOTA 
2. Medium,Male ,38,4,4,Divorced,Sao Paulo ,5,5,2,4,No,No,No,No,No,No,No,No,No,Yes,No,No,No,VW 
2. Medium,Male ,21,5,4,Divorced,Belo Horizonte ,3,5,4,1,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,FIAT 
2. Medium,Female ,25,6,5,Divorced,Sao Paulo ,4,4,5,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,CHEVROLET/GM 
2. Medium,Female ,22,6,1,Divorced,Sao Paulo ,4,5,4,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,FIAT 
2. Medium,Male ,25,7,5,Divorced,Rio de Janeiro ,4,5,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,Yes,No,HYUNDAI 
2. Medium,Male ,27,6,9,Divorced,Belo Horizonte ,5,5,4,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,FIAT 
2. Medium,Male ,41,6,5,Divorced,Rio de Janeiro ,5,5,4,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,FORD 
2. Medium,Male ,37,5,4,Divorced,Sao Paulo ,3,4,4,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,FORD 
2. Medium,Male ,53,5,5,Divorced,Sao Paulo ,5,5,3,3,No,No,No,No,No,No,No,No,No,No,No,No,No, 
2. Medium,Male ,54,4,4,Divorced,POA/Curitiba/Floripa ,5,5,4,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,FIAT 
2. Medium,Female ,39,7,6,Divorced,Sao Paulo ,4,5,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,BUGRE 
2. Medium,Female ,32,4,4,Divorced,Sao Paulo ,5,5,4,6,Maybe,No,No,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
2. Medium,Male ,43,6,4,Divorced,Rio de Janeiro ,5,5,4,4,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,FIAT 
2. Medium,Male ,25,4,2,Divorced,Brasilia/Goiania ,4,4,6,4,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
2. Medium,Female ,21,6,3,Divorced,Sao Paulo ,4,4,4,2,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,Yes,No,No,No,No,HONDA 
2. Medium,Female ,33,7,6,Divorced,Sao Paulo ,5,5,2,2,Maybe,Maybe,No,No,No,No,No,No,Yes,No,No,No,Yes,HONDA 
2. Medium,Female ,30,6,5,Divorced,Brasilia/Goiania ,4,5,3,5,Maybe,Maybe,Maybe,Maybe,Yes,No,No,No,No,No,No,No,No,HONDA 
2. Medium,Male ,41,6,6,Divorced,Brasilia/Goiania ,5,5,6,1,No,No,No,No,No,No,No,No,No,No,No,No,No,RENAULT 
2. Medium,Male ,27,5,2,Divorced,Recife/Salvador/Fortaleza ,3,5,5,5,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,FIAT 
2. Medium,Male ,20,6,3,Divorced,Belo Horizonte ,2,5,4,6,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,HONDA 
2. Medium,Male ,30,5,3,Divorced,Recife/Salvador/Fortaleza ,5,4,4,3,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,HYUNDAI 
2. Medium,Female ,31,5,5,Divorced,POA/Curitiba/Floripa ,5,5,2,5,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,VW 
2. Medium,Male ,48,6,6,Divorced,Sao Paulo ,5,5,2,6,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,FORD 
2. Medium,Male ,35,5,5,Divorced,Sao Paulo ,4,4,5,5,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,HONDA 
2. Medium,Male ,58,7,5,Divorced,Rio de Janeiro ,5,5,2,4,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,RENAULT 
2. Medium,Male ,25,5,4,Divorced,POA/Curitiba/Floripa ,3,4,4,3,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,Yes,No,No,Yes,CITROEN 
2. Medium,Male ,25,5,4,Divorced,Sao Paulo ,5,5,4,5,Maybe,No,No,No,No,Yes,No,No,No,No,No,No,No,CHEVROLET/GM 
2. Medium,Female ,24,5,4,Divorced,POA/Curitiba/Floripa ,5,5,3,3,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,CHEVROLET/GM 
2. Medium,Male ,19,7,9,Divorced,Belo Horizonte ,4,4,4,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,Mazda 
