Level of Risk,Date,Employment Length,Previous Home Ownership,Business Consumer,Customer Age in year,Bank,Salary,Down Payment,Down Payment Ratio,Market Value,LastDecision Score
1. Good,4/6/17,2,mortgage,Business,59.3,Foreign Bank,,1003.56,1.71,129424.2768,Yes
2. Average,4/5/17,10,own,Business,28,,,3384,5,399808.9466,Yes
1. Good,4/4/17,10,own,Consumer,29.3,Citigroup,4000,45000,72.68,557884.5406,Yes
1. Good,4/3/17,4,mortgage,Consumer,31.4,Foreign Bank,1700,15300,20,198276.6444,Yes
1. Good,4/2/17,10,mortgage,Consumer,24.3,Bank of America,1811,40519.5,35,484190.3332,Yes
2. Average,4/1/17,10,mortgage,Consumer,18.6,,1200,9000,36.59,101343.5773,Yes
1. Good,3/31/17,10,mortgage,Business,47.6,Citigroup,,2222.19,5,387695.2473,Yes
3. Risk,3/30/17,10,mortgage,Consumer,36.7,HSBC,4200,0,0,181161.1816,Yes
2. Average,3/29/17,0,rent,Consumer,56.9,Citigroup,2247.43,1137.57,1.78,189001.8085,Yes
1. Good,3/28/17,10,mortgage,Business,44.3,HSBC,,866.46,2.35,427980.4968,Yes
1. Good,3/27/17,10,rent,Consumer,40,Bank of America,2150,0,0,265901.4733,Yes
1. Good,3/26/17,,own,Business,52.8,The Bank of New York Mellon,,1516.62,1.82,202765.8973,Yes
1. Good,3/25/17,8,rent,Consumer,59.7,Citigroup,3000,884.55,2.4,436688.6929,Yes
1. Good,3/24/17,10,rent,Business,44,Foreign Bank,,1329.63,3,170326.7727,Yes
1. Good,3/23/17,9,own,Consumer,55.6,Citigroup,8580,37314,58.02,468438.4797,Yes
1. Good,3/22/17,10,mortgage,Consumer,72.8,Citigroup,1600,45720,75.3,506678.4178,Yes
2. Average,3/21/17,10,mortgage,Consumer,24.2,,1821,2203.65,4.81,300057.5911,Yes
1. Good,3/20/17,5,rent,Consumer,58.3,,1153,17730,59.64,183442.6327,Yes
1. Good,3/19/17,1,own,Consumer,50,PNC,1500,5187,8.42,67081.07862,Yes
1. Good,3/18/17,5,own,Consumer,57.6,,1500,19884,57,291889.258,Yes
1. Good,3/17/17,10,mortgage,Consumer,20.4,Bank of America,1251,0,0,240852.0592,Yes
1. Good,3/16/17,3,mortgage,Consumer,33.9,,6800,10500.51,10.74,113546.2757,Yes
1. Good,3/15/17,,rent,Consumer,53.2,The Bank of New York Mellon,3200,60765,80.2,771787.8807,Yes
1. Good,3/14/17,9,mortgage,Consumer,43.8,Citigroup,2600,40419,58.16,602688.4965,Yes
2. Average,3/13/17,8,rent,Consumer,32,Bank of America,1421,21000,36,305965.5086,Yes
1. Good,3/12/17,10,mortgage,Consumer,30.5,Bank of America,3000,1555.8,1.83,207713.8317,Yes
3. Risk,3/11/17,4,rent,Consumer,42.1,PNC,2850,0,0,150140.0013,Yes
1. Good,3/10/17,1,own,Business,57.5,,,1566.48,2.11,228910.8136,Yes
1. Good,3/9/17,10,rent,Consumer,22.1,Bank of America,1210,1743,2.51,305020.1503,No
1. Good,3/8/17,6,rent,Business,35.6,HSBC,,1697.16,1.68,231060.1503,Yes
1. Good,3/7/17,7,mortgage,Business,60.1,,,1357.71,2.03,208218.7746,Yes
1. Good,3/6/17,9,mortgage,Consumer,59.8,Citigroup,1248,34200,53.27,420939.6897,Yes
1. Good,3/5/17,,mortgage,Consumer,60.2,The Bank of New York Mellon,903,0,0,325041.1709,Yes
1. Good,3/4/17,,mortgage,Consumer,62.3,The Bank of New York Mellon,1550,40098,81.67,573036.3033,Yes
1. Good,3/3/17,10,mortgage,Consumer,29.5,Wells Fargo,1200,0,0,249948.0467,Yes
1. Good,3/2/17,10,mortgage,Consumer,37.7,Citigroup,2700,66000,80.14,704603.9704,Yes
1. Good,3/1/17,2,rent,Consumer,26.3,Citigroup,1485,0,0,169201.9371,Yes
2. Average,2/28/17,7,own,Business,47.1,,,0,0,203102.9415,Yes
1. Good,2/27/17,10,mortgage,Consumer,39.2,PNC,1500,47787,67.99,693347.5289,No
2. Average,2/26/17,10,mortgage,Business,44.1,The Bank of New York Mellon,,0,0,232419.0542,Yes
1. Good,2/25/17,,rent,Business,41.5,Foreign Bank,,2467.29,4.39,398091.4701,Yes
1. Good,2/24/17,3,rent,Consumer,26.9,Wells Fargo,1860,11564.1,18,157221.3175,No
1. Good,2/23/17,10,mortgage,Consumer,30.6,Bank of America,2000,0,0,240334.9437,Yes
1. Good,2/22/17,2,rent,Consumer,64.4,Citigroup,5000,7269,20.36,83954.18669,Yes
2. Average,2/21/17,7,mortgage,Consumer,28.8,,2100,0,0,167226.7144,Yes
1. Good,2/20/17,,rent,Consumer,57.3,The Bank of New York Mellon,1875,23400,34.74,287058.0666,Yes
1. Good,2/19/17,10,rent,Business,44.7,Citigroup,,622.17,1.64,292295.3612,Yes
1. Good,2/18/17,10,mortgage,Consumer,34.1,US Bancorp,3657,121100.39,88.44,1471340.746,Yes
1. Good,2/17/17,0,own,Consumer,41.8,JPMorgan Chase,0,3094.59,1.9,416533.3743,Yes
2. Average,2/16/17,3,rent,Consumer,36.7,JPMorgan Chase,3180,5624.19,8.16,65777.53645,Yes
1. Good,2/15/17,10,rent,Consumer,32.4,Bank of America,1750,1186.2,1.87,188027.6962,Yes
1. Good,2/14/17,10,own,Consumer,55.6,JPMorgan Chase,3048.98,0,0,242930.382,Yes
1. Good,2/13/17,6,rent,Business,37.1,Citigroup,,1437.21,2.52,223237.2759,Yes
1. Good,2/12/17,1,mortgage,Business,24,Foreign Bank,,6714.63,10.04,87815.25321,Yes
1. Good,2/11/17,5,rent,Business,60.4,HSBC,,2216.16,2.57,370808.0797,Yes
1. Good,2/10/17,8,mortgage,Consumer,69.2,Wells Fargo,2700,30255,62.7,409374.6382,Yes
2. Average,2/9/17,10,mortgage,Business,50.6,,,13096.2,10,161062.8062,Yes
1. Good,2/8/17,10,mortgage,Consumer,41.7,,1800,52485,65.01,638064.4265,Yes
1. Good,2/7/17,0,rent,Business,43.8,,,1785.96,2.76,260713.6483,Yes
1. Good,2/6/17,1,mortgage,Consumer,24.9,,1400,0,0,153255.7241,Yes
1. Good,2/5/17,10,rent,Consumer,30,Citigroup,1100,49800,57.44,673089.5905,Yes
1. Good,2/4/17,10,rent,Consumer,33.3,Bank of America,1358,51240,68.1,593908.2621,Yes
1. Good,2/3/17,3,rent,Consumer,35.4,,2300,11914.14,13.22,158972.5525,Yes
1. Good,2/2/17,7,mortgage,Consumer,53.1,PNC,1800,29787.42,35,365951.9229,Yes
2. Average,2/1/17,2,mortgage,Consumer,48.8,JPMorgan Chase,4117,10910.76,7,160183.5552,Yes
1. Good,1/31/17,3,mortgage,Consumer,21.8,Citigroup,1100,12600,58.33,171155.2932,Yes
2. Average,1/30/17,5,rent,Consumer,32.9,Citigroup,3587,1927.5,2,250978.1217,Yes
2. Average,1/29/17,6,rent,Consumer,29.3,Wells Fargo,1250,795.42,1.8,382000.1174,Yes
1. Good,1/28/17,2,mortgage,Consumer,51.2,Citigroup,2400,0,0,178540.3199,Yes
1. Good,1/27/17,0,own,Business,28.1,,,3000.87,1.99,395334.1116,Yes
1. Good,1/26/17,10,rent,Business,37.7,,,1435.23,2.05,230046.005,Yes
2. Average,1/25/17,6,own,Business,42.8,,,0,0,157031.0184,Yes
1. Good,1/24/17,9,own,Business,42.6,,,1326.99,1.66,205191.7017,Yes
1. Good,1/23/17,,mortgage,Consumer,53.2,The Bank of New York Mellon,4500,31705.2,30,423991.2989,Yes
2. Average,1/22/17,0,rent,Consumer,27.4,PNC,1881,4500,10.68,60366.26129,Yes
1. Good,1/21/17,2,mortgage,Business,37.1,Citigroup,,1805.4,2.04,225331.6219,Yes
2. Average,1/20/17,5,rent,Consumer,43.7,Bank of America,2600,10500,22.15,152871.991,Yes
2. Average,1/19/17,9,mortgage,Consumer,37,Citigroup,2927.56,0,0,233250.4654,Yes
1. Good,1/18/17,10,rent,Consumer,58.1,PNC,1705,51000,85,603452.8525,Yes
1. Good,1/17/17,6,rent,Business,50.3,,,1793.7,1.66,226380.6578,Yes
2. Average,1/16/17,1,rent,Business,38.3,Wells Fargo,,1962.06,1.9,263349.7976,Yes
2. Average,1/15/17,7,mortgage,Consumer,52.1,Foreign Bank,4000,9000,10.16,122758.191,Yes
2. Average,1/14/17,3,rent,Consumer,61.6,,3200,0,0,170800.2329,Yes
1. Good,1/13/17,10,mortgage,Consumer,47.8,Foreign Bank,1458,0,0,237342.9511,Yes
1. Good,1/12/17,,rent,Consumer,59.5,The Bank of New York Mellon,4500,2679.51,5.88,372914.6193,Yes
1. Good,1/11/17,8,mortgage,Consumer,68.5,Wells Fargo,5620,34050,43.07,384190.3855,Yes
1. Good,1/10/17,10,mortgage,Consumer,65.6,Foreign Bank,3000,56451,86.25,627161.1095,Yes
1. Good,1/9/17,0,own,Consumer,52.5,Citigroup,9000,3527.34,1.78,543975.1145,Yes
3. Risk,1/8/17,0,mortgage,Consumer,46,,2200,0,0,163839.9614,Yes
1. Good,1/7/17,10,mortgage,Consumer,45.3,Bank of America,1500,0,0,261910.0271,Yes
1. Good,1/6/17,1,own,Consumer,48.8,Wells Fargo,2802,6000,11.11,65202.0607,Yes
1. Good,1/5/17,,mortgage,Consumer,27.2,The Bank of New York Mellon,3100,24000,17.86,317035.5296,Yes
1. Good,1/4/17,2,rent,Business,47.2,,,9517.83,11.02,133120.5705,Yes
1. Good,1/3/17,10,mortgage,Consumer,29,Citigroup,1271,0,0,259866.8102,Yes
2. Average,1/2/17,5,rent,Consumer,29.3,,1630,30336,50.28,381550.8309,Yes
2. Average,1/1/17,9,rent,Consumer,32.4,,2129,600,0.97,361687.9212,Yes
1. Good,12/31/16,2,mortgage,Consumer,24.4,,1870,9001.17,9.71,98263.16702,Yes
3. Risk,12/30/16,2,rent,Consumer,22.4,The Bank of New York Mellon,2240,15000,20.08,187036.282,Yes
1. Good,12/29/16,10,mortgage,Consumer,35.3,Bank of America,2400,4166.22,6.4,52851.92824,Yes
3. Risk,12/28/16,,mortgage,Consumer,55.9,,4900,122200.42,83.69,1239611.611,Yes
1. Good,12/27/16,2,rent,Business,57.3,,,2111.85,1.83,373236.2455,Yes
1. Good,12/26/16,10,mortgage,Consumer,40,Wells Fargo,2411,50817.87,34.57,736723.6149,Yes
1. Good,12/25/16,10,rent,Consumer,46.4,,7000,137600.84,95.05,1497226.784,Yes
1. Good,12/24/16,7,mortgage,Consumer,55.3,Citigroup,1100,29556,41.3,376981.1016,Yes
1. Good,12/23/16,0,own,Business,40.7,Citigroup,,3674.28,1.99,455029.9438,Yes
1. Good,12/22/16,3,mortgage,Consumer,57.8,PNC,1514,12300,33.31,144283.7868,Yes
2. Average,12/21/16,10,mortgage,Consumer,40,The Bank of New York Mellon,1500,12000,20.1,149181.0858,Yes
1. Good,12/20/16,4,mortgage,Business,49.6,HSBC,,1248.33,2.54,176316.9593,Yes
1. Good,12/19/16,10,rent,Business,47.8,Wells Fargo,,878.22,2.38,415449.6686,Yes
1. Good,12/18/16,10,mortgage,Consumer,48,JPMorgan Chase,,1401.84,1.77,157031.0184,Yes
1. Good,12/17/16,0,rent,Business,41.1,,,1145.07,2.27,179930.1438,Yes
1. Good,12/16/16,10,mortgage,Consumer,32,Bank of America,1500,10950,30.22,138350.6798,Yes
1. Good,12/15/16,4,rent,Business,47.4,Citigroup,,14999.01,22.82,186624.2573,Yes
2. Average,12/14/16,3,rent,Business,56.7,,,2359.17,3.08,375815.5493,Yes
1. Good,12/13/16,3,mortgage,Consumer,45.1,,0,11566.35,15,130904.3709,Yes
1. Good,12/12/16,8,rent,Business,66,,,1752.99,1.9,312971.8427,Yes
2. Average,12/11/16,6,mortgage,Consumer,29.4,,775.46,29334,76.52,425778.4496,Yes
1. Good,12/10/16,10,rent,Consumer,31.8,Bank of America,1500,39150,66.75,392034.5754,Yes
1. Good,12/9/16,2,mortgage,Consumer,33.3,Foreign Bank,1100,706.44,2.03,323963.537,No
1. Good,12/8/16,6,rent,Consumer,49.8,,1200,24822,62.33,350718.515,Yes
1. Good,12/7/16,9,mortgage,Consumer,44,Citigroup,1190,39615.33,62.35,538359.4686,Yes
1. Good,12/6/16,10,rent,Consumer,53,Bank of America,1066,16794.03,32.74,217944.0634,Yes
1. Good,12/5/16,2,mortgage,Business,60.1,Foreign Bank,,2184.54,4.07,305460.7915,Yes
1. Good,12/4/16,,mortgage,Business,50.3,Bank of America,,855.33,1.63,396612.8724,Yes
1. Good,12/3/16,,mortgage,Consumer,29.8,Bank of America,6728,0,0,295027.2158,Yes
1. Good,12/2/16,1,rent,Consumer,63.4,Citigroup,4300,6600,6.88,86307.45859,No
1. Good,12/1/16,6,rent,Business,38.6,Citigroup,,1433.49,2.99,184185.7761,Yes
1. Good,11/30/16,10,mortgage,Consumer,65.4,,3900,81000,84.38,1131547.472,Yes
2. Average,11/29/16,10,mortgage,Consumer,26.9,PNC,2047,12300,18.55,180114.2399,Yes
1. Good,11/28/16,6,rent,Consumer,74.1,Citigroup,1700,20982,58.31,238176.3457,Yes
1. Good,11/27/16,10,rent,Consumer,66.8,,2200,1045.68,1.55,174324.1379,Yes
1. Good,11/26/16,7,mortgage,Consumer,51.4,Citigroup,2300,29670,71.2,379754.42,Yes
1. Good,11/25/16,0,own,Consumer,24.7,HSBC,1364,3192,6.46,483604.8478,Yes
1. Good,11/24/16,10,mortgage,Consumer,32.1,,1900,47895,76.15,617043.058,Yes
1. Good,11/23/16,4,mortgage,Consumer,31.7,,1050,14208,32.58,197649.1098,No
1. Good,11/22/16,10,mortgage,Consumer,49.5,US Bancorp,2700,107400.18,92.08,1301857.846,No
1. Good,11/21/16,10,mortgage,Business,57.1,Foreign Bank,,1299.66,1.96,191847.6698,Yes
1. Good,11/20/16,,mortgage,Consumer,35.1,Citigroup,1580,0,0,352980.8467,Yes
1. Good,11/19/16,10,rent,Consumer,60.8,JPMorgan Chase,3230,144201.02,87.33,1554176.068,Yes
1. Good,11/18/16,2,mortgage,Consumer,45.6,,2300,7740,15.56,90251.08668,Yes
1. Good,11/17/16,10,mortgage,Business,40.9,Citigroup,,2116.41,1.64,330237.071,Yes
1. Good,11/16/16,2,mortgage,Consumer,31,Wells Fargo,1100,0,0,148761.2367,Yes
1. Good,11/15/16,2,rent,Consumer,43.4,Citigroup,1900,8724,17.34,127864.6046,No
1. Good,11/14/16,3,rent,Business,43.8,,,1157.97,2.94,190992.3021,Yes
1. Good,11/13/16,0,own,Business,39.8,,,3261.06,2.1,376575.5338,Yes
1. Good,11/12/16,10,mortgage,Consumer,48.2,,2619,94800,61.24,1046108.541,Yes
1. Good,11/11/16,0,own,Consumer,42.1,Wells Fargo,0,2863.11,3.32,366445.1468,Yes
1. Good,11/10/16,8,mortgage,Business,40.2,Wells Fargo,,2632.53,2.58,357478.5047,Yes
1. Good,11/9/16,0,rent,Business,56.3,Foreign Bank,,1234.53,2.11,206339.0279,Yes
1. Good,11/8/16,7,mortgage,Business,30.5,,,1803.72,2.2,256513.7009,Yes
1. Good,11/7/16,2,rent,Consumer,45.7,PNC,2495.72,8969.97,10.27,105089.1587,Yes
1. Good,11/6/16,3,mortgage,Consumer,24.3,,1177,13686.63,19.52,174686.3696,Yes
1. Good,11/5/16,0,own,Business,37.4,Citigroup,,3781.83,1.81,392034.5754,Yes
3. Risk,11/4/16,1,rent,Consumer,25.6,,1517,21000,31.66,216919.0798,Yes
1. Good,11/3/16,10,rent,Consumer,38.3,,3814,129900.63,68.05,1455809.123,Yes
1. Good,11/2/16,0,own,Business,50.5,,,4157.76,2.44,47020.4953,Yes
1. Good,11/1/16,,mortgage,Consumer,50.4,The Bank of New York Mellon,2100,28200,29.29,375815.5493,Yes
2. Average,10/31/16,3,rent,Consumer,36.8,PNC,1742.05,0,0,168381.3231,Yes
1. Good,10/30/16,10,mortgage,Consumer,36.7,PNC,1800,51135,63.02,663473.2654,No
1. Good,10/29/16,2,rent,Consumer,33.3,,2000,9282,13.4,100633.1815,Yes
1. Good,10/28/16,1,mortgage,Consumer,25.4,Citigroup,1500,0,0,177668.3935,Yes
1. Good,10/27/16,10,mortgage,Consumer,41.7,Bank of America,4365.69,23340.12,22.8,287870.446,Yes
1. Good,10/26/16,2,mortgage,Consumer,21.3,PNC,1400,9084,20,110347.3329,Yes
1. Good,10/25/16,1,own,Consumer,27.3,JPMorgan Chase,3243,5998.2,7.69,86866.05001,Yes
2. Average,10/24/16,10,own,Consumer,33.3,Bank of America,2350,9000,20.69,100665.0858,Yes
2. Average,10/23/16,10,rent,Consumer,49.7,,2200,10500,12.24,136677.9109,Yes
1. Good,10/22/16,1,own,Business,39.9,HSBC,,5021.31,2.64,73360.68358,Yes
1. Good,10/21/16,8,mortgage,Consumer,48.4,PNC,1100,32865,68.66,431842.6613,Yes
1. Good,10/20/16,,mortgage,Consumer,44,The Bank of New York Mellon,7000,1587.69,1.71,184133.7365,Yes
2. Average,10/19/16,5,rent,Consumer,24.5,,1500,43200,74.23,519315.3295,Yes
1. Good,10/18/16,4,mortgage,Business,52.7,,,14799.06,19.33,221894.2408,No
1. Good,10/17/16,2,mortgage,Business,31.8,Foreign Bank,,9000,11.13,133453.7982,Yes
1. Good,10/16/16,4,mortgage,Business,48.4,,,14992.56,6.08,150140.0013,Yes
1. Good,10/15/16,5,mortgage,Business,68,HSBC,,1381.8,2.08,163360.2455,Yes
1. Good,10/14/16,,rent,Consumer,74.5,The Bank of New York Mellon,1800,10979.52,34.72,131021.7787,Yes
2. Average,10/13/16,10,rent,Consumer,51.5,Citigroup,3143,8693.7,10,101512.2964,Yes
1. Good,10/12/16,10,own,Consumer,43.3,Bank of America,1360,8370,21.81,115007.5316,Yes
1. Good,10/11/16,3,mortgage,Consumer,35.7,,0,11777.28,14.1,175691.4814,Yes
1. Good,10/10/16,8,rent,Consumer,33.2,,2300,32025,35,392823.5385,Yes
1. Good,10/9/16,7,rent,Consumer,40.6,US Bancorp,4400,26400,25.29,324105.1328,Yes
1. Good,10/8/16,10,rent,Business,46.8,Citigroup,,138700.87,82.76,1523112.822,Yes
1. Good,10/7/16,5,rent,Consumer,28.3,PNC,1122,16200,57.45,224302.0968,Yes
2. Average,10/6/16,6,rent,Consumer,22.9,,1837,9000,13.34,125327.3502,Yes
2. Average,10/5/16,1,rent,,,,0,2420.73,1.94,324892.8802,Yes
2. Average,10/4/16,10,mortgage,Business,56.4,,,1945.38,2.97,246996.6709,Yes
1. Good,10/3/16,10,mortgage,Business,43.8,,,1689.45,2.76,204050.5138,Yes
1. Good,10/2/16,10,mortgage,Consumer,33.4,,3000,0,0,289427.5556,Yes
1. Good,10/1/16,1,rent,Consumer,23.9,PNC,1600,6423,17.63,74788.08766,Yes
1. Good,9/30/16,3,mortgage,Consumer,44.9,,1844,12903,15.64,169201.9371,Yes
1. Good,9/29/16,1,own,Business,55.3,Wells Fargo,,1361.82,1.75,178909.8318,No
1. Good,9/28/16,1,rent,Business,26.3,Citigroup,,1365.45,1.68,159368.3981,Yes
3. Risk,9/27/16,7,rent,Consumer,36.6,Bank of America,3600,0,0,223237.2759,Yes
1. Good,9/26/16,9,rent,Consumer,36.3,,3887.02,2095.29,2.22,249606.9812,Yes
1. Good,9/25/16,10,mortgage,Business,55.1,Citigroup,,42666.12,85,539458.2045,Yes
1. Good,9/24/16,4,rent,Business,53.1,,,2400.09,2.19,425778.4496,Yes
1. Good,9/23/16,3,rent,Consumer,37.2,Foreign Bank,2500,12954,46.84,161165.973,Yes
1. Good,9/22/16,1,own,Consumer,37.8,Wells Fargo,1850,5400,14.61,63654.14927,Yes
1. Good,9/21/16,8,rent,Business,33.4,Wells Fargo,,33588,36.57,416533.3743,Yes
2. Average,9/20/16,7,mortgage,Business,52.8,Wells Fargo,,4336.2,2.2,48386.76778,Yes
1. Good,9/19/16,,mortgage,Consumer,41.7,The Bank of New York Mellon,1671.44,5400,10.12,60160.88975,No
1. Good,9/18/16,3,rent,Business,35.3,,,1565.43,1.94,201672.7569,No
1. Good,9/17/16,10,rent,Consumer,34.1,,1240,91500,85.92,1015495.473,Yes
1. Good,9/16/16,10,mortgage,Consumer,46.9,Bank of America,1888,32400,79.76,326483.5615,Yes
1. Good,9/15/16,,rent,Consumer,45,HSBC,3000,896.82,2.44,352242.4366,Yes
1. Good,9/14/16,10,rent,Business,36.5,,,1301.4,2,155067.4296,Yes
1. Good,9/13/16,0,rent,Consumer,68.2,HSBC,2497,0,0,157569.6943,Yes
2. Average,9/12/16,10,mortgage,Consumer,41.8,Bank of America,2500,0,0,262279.9408,Yes
3. Risk,9/11/16,10,rent,Consumer,50,HSBC,3185,0,0,256689.3687,Yes
2. Average,9/10/16,5,own,Business,53.6,,,2045.46,3.12,310272.7541,Yes
1. Good,9/9/16,3,rent,Consumer,32.5,Citigroup,2000,0,0,198755.6328,Yes
1. Good,9/8/16,0,own,Consumer,23.8,Wells Fargo,1021.33,3000,10.53,423613.6989,Yes
1. Good,9/7/16,10,mortgage,Consumer,31.3,,1350,0,0,273061.0904,Yes
1. Good,9/6/16,1,own,Consumer,77.4,Foreign Bank,920,4974,18.44,70719.04124,Yes
1. Good,9/5/16,5,mortgage,Consumer,27.1,PNC,1900,19758,37.66,274578.8111,No
1. Good,9/4/16,10,mortgage,Consumer,64.3,Foreign Bank,1200,99000.06,93.15,1450631.915,Yes
2. Average,9/3/16,10,mortgage,Consumer,55,Citigroup,1650,15000,20.92,176759.4607,Yes
2. Average,9/2/16,10,mortgage,Consumer,27.6,,2500,9000,8.13,118424.227,Yes
1. Good,9/1/16,10,mortgage,Consumer,57.8,Wells Fargo,2800,47997,86.48,676816.7291,Yes
1. Good,8/31/16,3,rent,Business,50.8,HSBC,,1161.9,2.66,165399.0557,Yes
1. Good,8/30/16,1,rent,Consumer,60.9,US Bancorp,1598,6600,13.59,96367.85158,No
2. Average,8/29/16,4,mortgage,Consumer,54.2,Wells Fargo,2230,0,0,190767.199,Yes
1. Good,8/28/16,3,rent,Business,50.7,,,2524.53,2.3,355156.2253,Yes
