Level of Risk,Date,Employment Length,Previous Home Ownership,Business Consumer,Customer Age in year,Bank,Salary,Down Payment,Down Payment Ratio,Market Value,LastDecision Score
1. Good,6/1/17,5,rent,Consumer,27.8,Citigroup,1400,17400,33.04,202765.8973,Yes
1. Good,6/1/17,0,mortgage,Consumer,50.7,,1500,0,0,162395.0241,Yes
2. Average,5/31/17,,mortgage,Consumer,48.3,Wells Fargo,2200,0,0,269443.3379,Yes
1. Good,5/30/17,5,mortgage,Consumer,20.8,PNC,990,18000,36.54,206007.6891,Yes
1. Good,5/29/17,1,own,Consumer,42.8,Citigroup,2222,5784,10.64,63537.60833,Yes
1. Good,5/28/17,10,mortgage,Consumer,54.3,Citigroup,2500,45600,85.88,534435.9531,Yes
1. Good,5/27/17,0,own,Business,36.7,,,3667.68,2.06,512291.5955,Yes
1. Good,5/26/17,2,mortgage,Consumer,50.1,,1500,9000,23.44,126963.5658,Yes
1. Good,5/25/17,10,rent,Consumer,42,JPMorgan Chase,2600,54000,81.82,687039.4873,Yes
1. Good,5/24/17,9,mortgage,Consumer,29.3,,3220,40500,57.45,581617.3337,Yes
1. Good,5/23/17,0,rent,Business,49.6,Wells Fargo,,2770.44,2.51,409374.6382,Yes
1. Good,5/22/17,5,rent,Consumer,68.8,Citigroup,8217,16176.6,20,210775.9478,Yes
2. Average,5/21/17,9,rent,Consumer,21.5,,2000,11835,33.03,139781.2126,Yes
1. Good,5/20/17,10,mortgage,Consumer,33.5,Citigroup,3000,884.55,2.4,434860.1913,Yes
1. Good,5/19/17,5,mortgage,Consumer,53.8,,2400,19496.4,23.21,250524.9475,Yes
2. Average,5/18/17,3,rent,Consumer,31.2,PNC,1820,4200.03,9.19,42481.12578,Yes
2. Average,5/17/17,9,rent,Consumer,26.2,,1258,1762.44,2.38,310091.8064,Yes
3. Risk,5/16/17,5,own,Consumer,22.3,,2033,12960,20,178540.3199,Yes
2. Average,5/15/17,0,rent,Consumer,25,,1950,9375,10,119844.1754,Yes
1. Good,5/14/17,1,own,Consumer,44.8,Citigroup,1230,5250,15.84,69122.06068,Yes
1. Good,5/13/17,10,mortgage,Consumer,31.3,Bank of America,1046,777,2.22,402631.3282,Yes
1. Good,5/12/17,0,own,Business,60.9,HSBC,,3296.37,2.05,445068.9716,Yes
1. Good,5/11/17,10,mortgage,Consumer,34.7,Citigroup,2710,49305,63.77,566876.891,Yes
2. Average,5/10/17,5,mortgage,Consumer,53.8,US Bancorp,3000,12000,14.81,145574.5292,Yes
2. Average,5/9/17,10,mortgage,Consumer,48.8,Bank of America,2118,9000,10.95,119528.9369,Yes
1. Good,5/8/17,10,mortgage,Consumer,40.5,Wells Fargo,3000,111600.24,48.81,1481695.161,Yes
1. Good,5/7/17,3,own,Consumer,41.6,PNC,1400,0,0,199039.3429,Yes
1. Good,5/6/17,3,mortgage,Consumer,38,,3430,0,0,214548.0011,Yes
2. Average,5/5/17,8,rent,Consumer,56.8,PNC,3300,2348.79,3.18,289630.2802,Yes
1. Good,5/4/17,1,mortgage,Consumer,50.6,US Bancorp,8500,0,0,152045.9969,Yes
1. Good,5/3/17,6,mortgage,Consumer,31.4,,2470,23400,30,271752.6558,Yes
1. Good,5/2/17,,mortgage,Business,34,Bank of America,,7019.19,10,97387.22658,Yes
1. Good,5/1/17,,mortgage,Consumer,37.8,The Bank of New York Mellon,16848,2454.3,2.02,434860.1913,Yes
1. Good,4/30/17,6,mortgage,Consumer,39.8,HSBC,2450,21000,12.73,249948.0467,Yes
2. Average,4/29/17,3,mortgage,Consumer,33.8,,1162,60000,50,730496.7401,Yes
1. Good,4/28/17,2,rent,Consumer,54.8,,3300,9420,10.89,107503.324,Yes
1. Good,4/27/17,5,rent,Business,58.5,Citigroup,,1212.9,3.13,157780.9067,Yes
1. Good,4/26/17,0,own,Business,41.3,,,3129.63,2.14,390703.3011,Yes
1. Good,4/25/17,4,mortgage,Consumer,31.9,JPMorgan Chase,3400,15000,47.51,209228.4051,No
1. Good,4/24/17,5,mortgage,Consumer,37.7,,1980,15900,31.95,167226.7144,Yes
1. Good,4/23/17,10,rent,Consumer,48.1,,2120,75015,79.89,858352.9114,Yes
1. Good,4/22/17,0,own,Consumer,52,HSBC,1534,4368.75,6.42,63584.39627,Yes
1. Good,4/21/17,5,mortgage,Consumer,55.4,HSBC,5000,18000.03,27.39,200300.0764,Yes
1. Good,4/20/17,3,rent,Consumer,52.6,,3419.81,13641,47.63,201981.4828,Yes
1. Good,4/19/17,10,mortgage,Consumer,74.3,Wells Fargo,3500,1423.05,1.79,171532.9234,Yes
2. Average,4/18/17,10,mortgage,Consumer,50.6,Bank of America,1500,12606.63,20,147473.195,Yes
1. Good,4/17/17,10,own,Consumer,28.2,Bank of America,,0,0,329785.561,Yes
1. Good,4/16/17,7,rent,Consumer,35.1,Foreign Bank,1350,29250,50,292596.7086,Yes
1. Good,4/15/17,4,own,Business,56.2,,,977.31,2.02,158583.1054,Yes
1. Good,4/14/17,10,mortgage,Consumer,44.7,Citigroup,3000,0,0,288605.385,Yes
1. Good,4/13/17,10,mortgage,Consumer,46,HSBC,3800,53277,87.66,614662.9697,Yes
1. Good,4/12/17,,mortgage,Business,37.6,The Bank of New York Mellon,,1354.62,1.71,196853.3598,Yes
1. Good,4/11/17,3,mortgage,Consumer,21.3,Wells Fargo,1480,14100,22.81,170800.2329,Yes
1. Good,4/10/17,2,rent,Consumer,25,JPMorgan Chase,1500,9000,30.03,110888.0372,Yes
2. Average,4/9/17,,own,Consumer,62.1,Bank of America,0,18000,10.08,232419.0542,Yes
3. Risk,4/8/17,7,mortgage,Business,33.7,Foreign Bank,,10500,18.85,111374.3208,Yes
1. Good,4/7/17,10,rent,Business,53.8,,,1604.64,1.86,230246.7282,Yes
