Sales Increase,Date,Years of Servicing Client,Overall Discount,Sales Rep Seniority,Sales Client per month,Family Brand,Region,% product demonstration,Nb of Brands,Nb Orders with litigation,Nb of visits to client,Clients Visited per m by SalesRep,Nb clients per SalesRep
669,15,1.2,16.79,19.7,441,No,Large Cities,10.75,1,0,13,24,108
233,122,1.2,28.2,19.7,1759,No,South East,38.48,9,20,13,36,153
-321,6,1.3,52.67,2,381,Global,Large Cities,33.27,3,50,8,42,124
-51,93,1.3,64.46,2.2,70,No,South West,74.24,4,0,22,0,
-213,22,1.3,39.29,3,4999,REGIONALE,North,64.64,11,25,18,50,223
340,52,1.3,50,3.5,152,No,South West,100,2,0,19,34,117
1185,113,1.3,22,4.7,1506,No,Large Cities,7.44,4,0,25,42,124
2323,114,1.3,23.92,4.7,2312,No,Large Cities,13.03,8,0,25,42,124
4397,10,1.3,25.14,19.7,6775,No,South East,8.2,10,3.22,32,24,120
1881,86,1.3,22.93,19.7,1952,No,South East,14.84,8,20,8,40,208
-20,33,1.4,50,3.6,101,No,Large Cities,100,1,0,11,61,178
-1193,23,1.4,41.13,4,11373,No,Large Cities,33.5,10,0,17,37,156
1793,79,1.4,29.66,4.7,3149,No,Large Cities,46.92,6,0,31,42,124
431,101,1.4,45.1,6.8,241,No,South West,36.67,3,0,19,39,86
26,24,1.4,26.91,7.6,592,No,Large Cities,54.69,4,0,8,24,84
225,143,1.4,38.75,8.3,3859,Brand,North,9.37,15,0,16,,
462,76,1.4,38.86,12.4,313,No,South West,36.13,3,0,10,34,79
2647,74,1.4,23.47,19.7,3143,No,South East,8.3,11,0,10,21,129
-10,128,1.4,28.65,19.7,2990,No,South West,10.06,11,57.14,18,19,107
5500,125,1.4,20.46,19.7,8343,No,East,22.4,13,0,20,21,95
1095,70,1.4,39.8,19.7,1269,No,South East,25.18,7,0,15,21,113
1040,1,1.4,15.5,19.7,850,No,Large Cities,41.01,4,0,11,24,108
3420,65,1.5,33.05,3,4556,Brand,North,11.69,10,16.66,20,46,207
1225,33,1.5,32.98,3.4,3888,No,West,49.57,8,21.42,20,50,95
436,162,1.5,12.11,3.6,283,No,Large Cities,87.88,3,0,8,61,178
845,19,1.5,23.19,4.7,702,No,Large Cities,45.84,3,0,13,42,124
-959,18,1.5,32.46,19.7,1215,No,South East,19.78,6,42.85,12,40,208
-815,157,1.6,47.32,3.4,5600,No,West,33.77,12,0,17,50,95
641,11,1.6,24.94,4.9,1065,No,North,24.71,3,0,8,50,135
2294,52,1.6,26.05,7.6,4490,No,Large Cities,35.92,11,14.28,28,24,84
626,12,1.6,29.55,7.6,541,No,Large Cities,73.82,3,0,5,24,84
864,50,1.6,12.05,19.7,905,No,East,28.34,1,25,9,32,115
1915,98,1.6,25.9,19.7,2059,Brand,South East,29.78,9,0,7,24,120
-4082,34,1.7,45.82,2,6712,Global,South East,54.62,11,20,3,38,136
-672,117,1.7,34.38,19.7,975,No,South East,36.91,5,25,11,21,129
-292,77,1.7,50,19.7,808,Global,South West,100,1,0,15,19,107
-1058,33,1.8,99.49,3,61,No,North,100,2,0,11,46,207
-1514,144,1.8,43.86,3.3,878,No,North,13.29,5,0,16,61,98
328,108,1.8,28.52,4,857,No,Large Cities,29.88,4,0,6,37,156
-1080,84,1.8,43,10.5,876,No,South West,72.02,7,0,26,20,94
1139,83,1.8,53.22,19.5,4507,Global,South West,13.97,14,12.5,15,31,101
5067,16,1.8,30,19.5,14928,No,South West,22.97,13,37.5,23,31,101
-2371,20,1.8,42.57,19.7,5053,No,West,23.14,9,12.5,15,29,86
