time,site,infector
0,Santo Cristo 1,NA
0,Santo Cristo 2,NA
0,Rodoviaria,NA
0,Santo Cristo,NA
0,Praca Maua,NA
0,Caju,NA
0,Av.Passos,NA
0,Mal.Floriano,NA
0,Candelaria,NA
0,1o. de marco,NA
0,Aerop.S.Dumont,NA
0,Alm. Barroso,NA
0,Passeio Publico,NA
0,Av. Chile,NA
0,Cruz Vermelha,NA
0,Praca da Republica,NA
0,Central do Brasil,NA
0,Sambodromo,NA
0,Piranhao,NA
0,Estacio,NA
0,Rio Comprido 1,NA
0,Rio Comprido 2,NA
0,Campos da Paz,NA
0,Catumbi,NA
0,MAM,NA
0,Gloria,NA
0,Catete,NA
0,Sao Salvador,NA
0,Largo do Machado,NA
0,Morro da Viuva,NA
0,Rua das Laranjeiras,NA
0,General Glicerio,NA
0,Cosme Velho,NA
0,Dona Marta,NA
0,Humaita,NA
0,Gal. Polidoro,NA
0,Venceslau Braz,NA
0,Praia de Botafogo,NA
0,Urca,NA
0,Leme,NA
0,Lido,NA
0,Siqueira Campos,NA
0,Bolivar,NA
0,Sousa Lima,NA
0,Arpoador,NA
0,Farme de Amoedo,NA
0,Praca N.S. Paz,NA
0,Jardim de Alah,NA
0,Morro da Catacumba,NA
0,Fonte da Saudade,NA
0,Parque Lage,NA
0,Hipica,NA
0,Jardim Botanico,NA
0,Joquei,NA
0,Carlos Gois,NA
0,Leblon,NA
0,Gavea,NA
0,Vidigal,NA
0,Sao Conrado,NA
0,Fonseca Teles,NA
0,Campo S.Cristovao,NA
0,Rua Bela,NA
0,Praia Formosa,NA
0,Rua Escobar,NA
0,Francisco Eugenio,NA
0,Quinta Boa Vista,NA
0,Mangueira,NA
0,Tuiuti,NA
0,Benfica 1,NA
0,Benfica 2,NA
0,Praca da Bandeira,NA
0,Afonso Pena,NA
0,Rua do Bispo,NA
0,S.F.Xavier,NA
0,Saens Pena,NA
0,Muda,NA
0,Rua Sao Miguel,NA
0,Alto da Boa Vista,NA
0,Sumare,NA
0,Vista Chinesa,NA
0,Morais e Silva,NA
0,Maracana,NA
0,Pereira das Neves,NA
0,Vila Isabel 1,NA
0,Vila Isabel 2,NA
0,Morro dos Macacos,NA
0,Praca Sete,NA
0,Andarai 1,NA
0,Andarai 2,NA
0,Grajau 1,NA
0,Grajau 2,NA
0,Manguinhos 1,NA
0,Manguinhos 2,NA
0,Bonsucesso 1,NA
0,Bonsucesso 2,NA
0,Ramos 1,NA
0,Ramos 2,NA
0,Ramos 3,NA
0,Olaria 1,NA
0,Olaria 2,NA
0,Penha 1,NA
0,Penha 2,NA
0,Penha 3,NA
0,Penha Circular 1,NA
0,Penha Circular 2,NA
0,Penha Circular 3,NA
0,Bras de Pina 1,NA
0,Bras de Pina 2,NA
0,Trevo das Missoes,NA
0,Cordovil 1,NA
0,Cordovil 2,NA
0,Parada de Lucas 1,NA
0,Parada de Lucas 2,NA
0,Parada de Lucas 3,NA
0,Vigario Geral,NA
0,Jardim America,NA
0,nan,NA
0,Sao Francisco Xavier,NA
0,Rocha 1,NA
0,Rocha 2,NA
0,Riachuelo 1,NA
0,Riachuelo 2,NA
0,Viuva Claudio,NA
0,Sampaio 1,NA
0,Sampaio 2,NA
0,Engenho Novo 1,NA
0,Engenho Novo 2,NA
0,Cachambi 1,NA
0,Cachambi 2,NA
0,Cachambi 3,NA
0,Meier 1,NA
0,Meier 2,NA
0,Meier 3,NA
0,Lins,NA
0,Todos os Santos 1,NA
0,Todos os Santos 2,NA
0,Engenho de Dentro 1,NA
0,Engenho de Dentro 2,NA
0,Engenho de Dentro 3,NA
0,Agua Santa,NA
0,Encantado 1,NA
0,Encantado 2,NA
0,Abolicao,NA
0,Pilares,NA
0,Piedade 1,NA
0,Piedade 2,NA
0,Vicente de Carvalho,NA
0,Vila Kosmos,NA
0,Vila da Penha,NA
0,Iraja 1,NA
0,Iraja 2,NA
0,Praca Cisplatina,NA
0,Padre Roser,NA
0,Vista Alegre,NA
0,CEASA,NA
0,Iraja - Dutra,NA
0,Colegio 1,NA
0,Colegio 2,NA
0,Marechal Hermes 1,NA
0,Marechal Hermes 2,NA
0,Bento Ribeiro 1,NA
0,Bento Ribeiro 2,NA
0,Honorio Gurgel 1,NA
0,Honorio Gurgel 2,NA
0,Rocha Miranda 1,NA
0,Rocha Miranda 2,NA
0,Turiassu,NA
0,Osvaldo Cruz 1,NA
0,Osvaldo Cruz 2,NA
0,Madureira,NA
0,Magno,NA
0,Vaz Lobo,NA
0,Cavalcanti,NA
0,Engenheiro Leal,NA
0,Cascadura 1,NA
0,Quintino 1,NA
0,Quintino 2,NA
0,Cascadura 2,NA
0,Campinho,NA
0,Estrada Tres Rios,NA
0,Rua Araticum,NA
0,Av. Canal do anil,NA
0,Gardenia Azul,NA
0,Anil 1,NA
0,Anil 2,NA
0,Rua Tirol,NA
0,Pau Ferro,NA
0,Tanque,NA
0,Pechincha 1,NA
0,Estr. do Gabinal,NA
0,Cidade de Deus,NA
