
# PINGSoft - Halpha narrow filter: KPNO-NOAO  CWL: 6574A  FWHM: 80A
# ------------------------------------------------------------------
# Original information:
#
# == Filter Data - Lambda 9 Spectrophotometer ==
#   Kitt Peak National Observatory - NOAO
# ----------------------------------------------
# Filter: H-ALPHA P4 1/60/.5 24.8C (DATA TOO COARSE BUT NEEDED FOR COMP TO OLD DATA)
# Date: 04/03/02   Time: 11:16:11  Operator: JDV
# cwl=  6574.74A  fwhm=  80.62A  Tmax= 94.31% at  6590.00A
# Tcutoff=  2.00 %  Slitsize = 10 A
# fwhm spans 6534.43A to 6615.05A
# 90%  spans 6547.25A to 6602.45A
# bw90 is  0.685; Tmin90/Tmax is  0.900
# No data smoothing
# Npts=   31     Disp= 10.00A/Interval
# CWL: 6574.74

#  Wavelength  Transmission
     6400.00      0.00005
     6410.00      0.00005
     6420.00      0.00010
     6430.00      0.00025
     6440.00      0.00035
     6450.00      0.00050
     6460.00      0.00085
     6470.00      0.00165
     6480.00      0.00325
     6490.00      0.00620
     6500.00      0.01305
     6510.00      0.03415
     6520.00      0.10735
     6530.00      0.31175
     6540.00      0.67210
     6550.00      0.91560
     6560.00      0.92440
     6570.00      0.93710
     6580.00      0.94165
     6590.00      0.94305
     6600.00      0.90910
     6610.00      0.66245
     6620.00      0.28440
     6630.00      0.09920
     6640.00      0.03635
     6650.00      0.01570
     6660.00      0.00745
     6670.00      0.00365
     6680.00      0.00195
     6690.00      0.00115
     6700.00      0.00090

