#           MJD      wave       x12       t12       x34       t34       x56       t56
   58485.015325   300.000     1.024     0.025     1.352    -0.486     0.850     0.175
   58484.572685   301.500     1.024     0.025     1.356    -0.486     0.847     0.173
   58484.572661   303.007     1.025     0.025     1.357    -0.477     0.845     0.169
   58484.474750   304.523     1.025     0.026     1.358    -0.465     0.843     0.164
   58485.282843   306.045     1.026     0.026     1.359    -0.451     0.841     0.159
   58485.017782   307.575     1.027     0.027     1.360    -0.434     0.839     0.153
   58485.124739   309.113     1.027     0.027     1.361    -0.414     0.836     0.146
   58484.437251   310.659     1.028     0.028     1.362    -0.391     0.833     0.139
   58485.386577   312.212     1.028     0.028     1.345    -0.365     0.833     0.131
   58485.249109   313.773     1.029     0.029     1.326    -0.334     0.832     0.121
   58484.629006   315.342     1.030     0.030     1.307    -0.297     0.831     0.110
   58484.598492   316.919     1.030     0.031     1.288    -0.254     0.828     0.096
   58484.600071   318.503     1.031     0.032     1.269    -0.202     0.825     0.081
   58484.720909   320.096     1.033     0.033     1.250    -0.141     0.819     0.062
   58484.941423   321.696     1.032     0.036     1.137    -0.092     0.836     0.035
   58484.848612   323.305     1.030     0.040     1.019    -0.031     0.866     0.005
   58484.707896   324.921     1.026     0.044     0.925     0.059     0.900    -0.026
   58485.028520   326.546     1.022     0.048     0.863     0.183     0.935    -0.059
   58484.556161   328.179     1.017     0.052     0.839     0.331     0.967    -0.096
   58484.708811   329.820     1.012     0.055     0.853     0.484     0.993    -0.138
   58484.783029   331.469     1.008     0.057     0.895     0.626     1.008    -0.183
   58484.872737   333.126     1.006     0.058     0.901     0.742     1.019    -0.223
   58485.201843   334.792     1.005     0.060     0.911     0.851     1.028    -0.269
   58484.616340   336.466     1.004     0.062     0.929     0.949     1.036    -0.322
   58484.930901   338.148     1.004     0.065     0.950     1.029     1.041    -0.380
   58485.009081   339.839     1.003     0.068     0.974     1.090     1.042    -0.441
   58484.463117   341.538     1.002     0.072     0.996     1.131     1.039    -0.502
   58485.024212   343.246     1.002     0.076     1.014     1.153     1.031    -0.556
   58484.587191   344.962     1.001     0.080     1.029     1.162     1.020    -0.603
   58484.481718   346.687     1.001     0.085     1.040     1.158     1.009    -0.640
   58485.365552   348.420     1.001     0.089     1.047     1.145     0.998    -0.666
   58485.382299   350.162     1.002     0.094     1.052     1.124     0.988    -0.682
   58485.225064   351.913     1.002     0.098     1.053     1.097     0.981    -0.688
   58484.721280   353.673     1.002     0.101     1.053     1.065     0.976    -0.685
   58484.514339   355.441     1.003     0.104     1.052     1.034     0.972    -0.677
   58485.100900   357.218     1.003     0.106     1.051     1.003     0.970    -0.665
   58484.856819   359.004     1.004     0.107     1.048     0.970     0.969    -0.649
   58484.538705   360.799     1.004     0.108     1.046     0.937     0.970    -0.631
   58484.911844   362.603     1.004     0.109     1.043     0.903     0.971    -0.610
   58484.451055   364.416     1.005     0.109     1.040     0.869     0.972    -0.588
   58485.325987   366.238     1.005     0.108     1.037     0.836     0.974    -0.566
   58484.675447   368.069     1.005     0.107     1.034     0.803     0.976    -0.544
   58485.079189   369.910     1.005     0.106     1.032     0.772     0.977    -0.522
   58484.728378   371.759     1.005     0.104     1.029     0.742     0.979    -0.502
   58484.936735   373.618     1.005     0.102     1.027     0.712     0.981    -0.481
   58484.963377   375.486     1.005     0.101     1.025     0.684     0.982    -0.461
   58484.601521   377.364     1.004     0.099     1.023     0.656     0.984    -0.441
   58485.386251   379.250     1.004     0.097     1.021     0.628     0.985    -0.422
   58485.191799   381.147     1.004     0.095     1.019     0.602     0.987    -0.404
   58485.356166   383.052     1.004     0.093     1.018     0.577     0.988    -0.387
   58485.311494   384.968     1.004     0.091     1.018     0.554     0.988    -0.372
   58485.014567   386.893     1.004     0.089     1.017     0.531     0.989    -0.356
   58485.338541   388.827     1.004     0.087     1.016     0.509     0.989    -0.341
   58484.505159   390.771     1.004     0.085     1.016     0.487     0.990    -0.327
   58484.612650   392.725     1.004     0.083     1.015     0.466     0.990    -0.313
   58484.461894   394.689     1.004     0.081     1.015     0.445     0.990    -0.300
   58484.741997   396.662     1.004     0.079     1.014     0.425     0.991    -0.287
   58484.805344   398.645     1.004     0.077     1.014     0.406     0.991    -0.275
   58484.688016   400.639     1.004     0.075     1.013     0.387     0.992    -0.263
   58485.245404   402.642     1.004     0.074     1.013     0.369     0.992    -0.252
   58484.773420   404.655     1.004     0.072     1.013     0.351     0.992    -0.241
   58484.697601   406.678     1.004     0.070     1.012     0.333     0.993    -0.230
   58484.959363   408.712     1.004     0.069     1.012     0.316     0.993    -0.220
   58484.557591   410.755     1.004     0.067     1.011     0.299     0.993    -0.210
   58485.218864   412.809     1.003     0.066     1.011     0.283     0.993    -0.200
   58484.491217   414.873     1.003     0.064     1.011     0.268     0.994    -0.191
   58485.403554   416.947     1.003     0.063     1.010     0.253     0.994    -0.182
   58485.188911   419.032     1.003     0.062     1.010     0.239     0.994    -0.174
   58484.615382   421.127     1.003     0.060     1.009     0.225     0.995    -0.166
   58484.422189   423.233     1.003     0.059     1.009     0.211     0.995    -0.158
