#           MJD      wave       x12       t12       x34       t34       x56       t56
   58485.232128   425.349     1.003     0.058     1.008     0.197     0.995    -0.150
   58485.123524   427.476     1.003     0.056     1.008     0.184     0.996    -0.142
   58485.145674   429.613     1.003     0.055     1.007     0.171     0.996    -0.135
   58485.187937   431.761     1.003     0.054     1.007     0.158     0.996    -0.128
   58484.490711   433.920     1.003     0.053     1.007     0.146     0.996    -0.121
   58484.775132   436.090     1.003     0.052     1.007     0.134     0.996    -0.115
   58484.532536   438.270     1.003     0.051     1.007     0.123     0.996    -0.108
   58485.279770   440.462     1.003     0.050     1.006     0.111     0.996    -0.102
   58485.039965   442.664     1.003     0.049     1.006     0.100     0.996    -0.095
   58484.747565   444.877     1.003     0.048     1.006     0.088     0.997    -0.089
   58484.480225   447.102     1.003     0.047     1.006     0.077     0.997    -0.083
   58484.727649   449.337     1.003     0.046     1.006     0.066     0.997    -0.077
   58484.741850   451.584     1.003     0.045     1.006     0.056     0.997    -0.071
   58485.146273   453.842     1.003     0.044     1.006     0.045     0.997    -0.066
   58485.054224   456.111     1.003     0.043     1.006     0.034     0.997    -0.060
   58485.303879   458.391     1.003     0.042     1.006     0.024     0.997    -0.054
   58484.888882   460.683     1.003     0.041     1.006     0.013     0.997    -0.049
   58484.536261   462.987     1.003     0.040     1.006     0.003     0.997    -0.043
   58485.129911   465.302     1.003     0.039     1.006    -0.007     0.997    -0.038
   58485.177452   467.628     1.003     0.038     1.006    -0.017     0.997    -0.033
   58484.977944   469.966     1.003     0.038     1.006    -0.027     0.997    -0.027
   58485.187634   472.316     1.003     0.037     1.006    -0.036     0.997    -0.022
   58484.910462   474.678     1.003     0.036     1.006    -0.046     0.997    -0.017
   58484.939399   477.051     1.003     0.035     1.006    -0.055     0.997    -0.013
   58484.844208   479.436     1.003     0.034     1.006    -0.064     0.997    -0.008
   58484.442086   481.834     1.003     0.034     1.006    -0.073     0.997    -0.003
   58484.524558   484.243     1.003     0.033     1.006    -0.082     0.997     0.001
   58484.448096   486.664     1.003     0.032     1.006    -0.090     0.997     0.006
   58485.053077   489.097     1.003     0.031     1.006    -0.099     0.997     0.010
   58484.731023   491.543     1.003     0.031     1.005    -0.107     0.997     0.015
   58484.925237   494.001     1.003     0.030     1.005    -0.116     0.997     0.019
   58485.324233   496.471     1.003     0.029     1.005    -0.124     0.997     0.024
   58484.665959   498.953     1.003     0.029     1.005    -0.132     0.997     0.028
   58484.827050   501.448     1.003     0.028     1.005    -0.141     0.997     0.032
   58485.172218   503.955     1.003     0.027     1.005    -0.149     0.997     0.036
   58484.645465   506.475     1.003     0.027     1.005    -0.156     0.997     0.041
   58484.493647   509.007     1.003     0.026     1.005    -0.164     0.997     0.045
   58484.706418   511.552     1.003     0.025     1.005    -0.172     0.997     0.049
   58484.577888   514.110     1.003     0.025     1.005    -0.180     0.997     0.053
   58485.346364   516.680     1.003     0.024     1.005    -0.187     0.998     0.057
   58485.224787   519.264     1.003     0.023     1.005    -0.195     0.998     0.061
   58485.050070   521.860     1.003     0.023     1.005    -0.202     0.998     0.065
   58485.288127   524.469     1.003     0.022     1.005    -0.209     0.998     0.068
   58485.220339   527.092     1.003     0.021     1.005    -0.216     0.998     0.072
   58484.603237   529.727     1.003     0.021     1.005    -0.224     0.998     0.076
   58485.309226   532.376     1.003     0.020     1.005    -0.230     0.998     0.080
   58484.956009   535.038     1.003     0.020     1.005    -0.237     0.998     0.083
   58485.224107   537.713     1.003     0.019     1.005    -0.244     0.998     0.087
   58485.312758   540.401     1.003     0.018     1.005    -0.251     0.998     0.091
   58484.734670   543.104     1.003     0.018     1.005    -0.257     0.997     0.094
   58484.526719   545.819     1.003     0.017     1.005    -0.264     0.997     0.098
   58484.644602   548.548     1.003     0.017     1.005    -0.270     0.997     0.101
   58484.843774   551.291     1.003     0.016     1.005    -0.276     0.998     0.104
   58485.234681   554.047     1.003     0.016     1.004    -0.282     0.998     0.108
   58485.277397   556.818     1.003     0.015     1.004    -0.287     0.998     0.111
   58484.423619   559.602     1.003     0.015     1.004    -0.293     0.998     0.114
   58484.927414   562.400     1.003     0.014     1.004    -0.298     0.998     0.117
   58484.834078   565.212     1.003     0.014     1.004    -0.304     0.998     0.120
   58484.638774   568.038     1.003     0.013     1.004    -0.309     0.998     0.123
   58484.536532   570.878     1.003     0.013     1.004    -0.314     0.998     0.126
   58484.754282   573.732     1.003     0.012     1.003    -0.319     0.998     0.129
   58485.359576   576.601     1.003     0.012     1.003    -0.324     0.998     0.131
   58484.739870   579.484     1.003     0.011     1.003    -0.328     0.998     0.134
   58484.935457   582.381     1.003     0.011     1.003    -0.333     0.998     0.137
   58485.119686   585.293     1.003     0.010     1.003    -0.337     0.998     0.139
   58484.780296   588.220     1.003     0.010     1.003    -0.341     0.998     0.142
   58485.388449   591.161     1.003     0.009     1.003    -0.345     0.998     0.145
   58485.379114   594.117     1.003     0.009     1.003    -0.349     0.998     0.147
   58484.668449   597.087     1.003     0.008     1.003    -0.353     0.998     0.149
   58484.913915   600.073     1.003     0.008     1.003    -0.357     0.998     0.152
   58484.717545   603.073     1.003     0.007     1.003    -0.360     0.998     0.154
   58484.701507   606.088     1.003     0.007     1.003    -0.363     0.998     0.156
   58484.453554   609.119     1.003     0.006     1.003    -0.366     0.998     0.159
   58485.026231   612.164     1.003     0.006     1.003    -0.369     0.998     0.161
   58484.919346   615.225     1.003     0.006     1.003    -0.372     0.998     0.163
   58484.468145   618.301     1.003     0.005     1.003    -0.374     0.998     0.164
   58484.695313   621.393     1.003     0.005     1.003    -0.376     0.998     0.166
   58485.324933   624.500     1.003     0.004     1.002    -0.378     0.998     0.168
   58484.656229   627.622     1.003     0.004     1.002    -0.380     0.998     0.170
   58484.561562   630.760     1.003     0.004     1.002    -0.382     0.998     0.171
   58484.906119   633.914     1.003     0.003     1.002    -0.383     0.999     0.173
   58485.402317   637.084     1.003     0.003     1.002    -0.384     0.999     0.174
   58484.658722   640.269     1.003     0.003     1.002    -0.385     0.999     0.175
   58485.088802   643.471     1.003     0.002     1.002    -0.385     0.999     0.176
   58485.178286   646.688     1.003     0.002     1.002    -0.386     0.999     0.177
   58484.654304   649.921     1.003     0.002     1.002    -0.386     0.999     0.178
   58485.144883   653.171     1.003     0.002     1.001    -0.386     0.999     0.179
   58484.784450   656.437     1.003     0.001     1.001    -0.385     0.999     0.180
   58485.048972   659.719     1.003     0.001     1.001    -0.384     0.999     0.181
   58485.050196   663.018     1.003     0.001     1.001    -0.384     0.999     0.181
   58484.952441   666.333     1.003     0.001     1.001    -0.382     0.999     0.182
   58484.506956   669.664     1.003     0.001     1.001    -0.381     0.999     0.182
   58485.251969   673.013     1.004     0.001     1.001    -0.379     0.999     0.182
   58484.737447   676.378     1.004     0.001     1.001    -0.377     0.999     0.182
   58484.603185   679.760     1.004     0.000     1.001    -0.374     0.999     0.182
   58484.457442   683.158     1.004     0.000     1.001    -0.372     0.999     0.182
   58485.007560   686.574     1.004     0.000     1.000    -0.369     0.999     0.182
   58485.094231   690.007     1.004     0.000     1.000    -0.365     0.999     0.181
   58484.433254   693.457     1.004     0.000     1.000    -0.362     0.999     0.181
   58484.928760   696.924     1.004     0.000     1.000    -0.358     0.999     0.180
   58484.643162   700.409     1.004     0.000     1.000    -0.353     1.000     0.179
   58485.061839   703.911     1.004     0.000     1.000    -0.349     1.000     0.178
   58484.591033   707.431     1.004     0.000     1.000    -0.344     1.000     0.177
   58485.107604   710.968     1.004     0.000     1.000    -0.338     1.000     0.176
   58484.803402   714.523     1.004     0.000     1.000    -0.333     1.000     0.174
   58485.353397   718.095     1.004     0.000     1.000    -0.327     1.000     0.172
   58484.554188   721.686     1.004     0.000     1.000    -0.320     1.000     0.171
   58484.757733   725.294     1.004     0.000     1.000    -0.314     1.000     0.169
   58484.530140   728.921     1.004     0.000     1.000    -0.307     1.000     0.167
   58485.341360   732.565     1.004     0.000     1.000    -0.299     1.000     0.164
   58485.294006   736.228     1.004     0.000     0.999    -0.292     1.000     0.162
   58484.674608   739.909     1.004     0.001     0.999    -0.284     1.000     0.159
   58485.076651   743.609     1.004     0.001     0.999    -0.276     1.000     0.157
   58485.233889   747.327     1.004     0.001     0.999    -0.267     1.000     0.154
   58484.971867   751.063     1.004     0.001     0.999    -0.258     1.000     0.151
   58484.946317   754.819     1.004     0.001     0.999    -0.249     1.000     0.148
   58484.658519   758.593     1.004     0.001     0.999    -0.239     1.000     0.144
   58484.509769   762.386     1.004     0.002     0.999    -0.229     1.000     0.141
   58485.313882   766.198     1.004     0.002     0.999    -0.219     1.000     0.137
   58485.317085   770.029     1.004     0.002     0.999    -0.209     1.000     0.133
   58485.049768   773.879     1.004     0.003     0.999    -0.198     1.000     0.129
   58484.755696   777.748     1.004     0.003     0.999    -0.187     1.000     0.125
   58484.765876   781.637     1.004     0.003     0.999    -0.176     1.000     0.121
   58485.142622   785.545     1.005     0.004     0.999    -0.164     1.000     0.116
   58485.313777   789.473     1.005     0.004     0.999    -0.153     1.000     0.112
   58485.303753   793.420     1.005     0.004     0.999    -0.141     1.000     0.107
   58485.196542   797.387     1.005     0.005     0.999    -0.128     1.000     0.102
   58485.058698   801.374     1.005     0.005     0.999    -0.116     1.000     0.097
   58484.500807   805.381     1.005     0.005     0.998    -0.104     1.000     0.092
   58484.578295   809.408     1.005     0.006     0.998    -0.091     1.000     0.087
   58485.315221   813.455     1.005     0.006     0.998    -0.078     1.000     0.081
   58485.023096   817.522     1.005     0.007     0.998    -0.065     1.000     0.076
   58484.425864   821.610     1.005     0.007     0.998    -0.052     1.001     0.070
   58484.518138   825.718     1.005     0.008     0.998    -0.038     1.001     0.064
   58485.080168   829.847     1.005     0.008     0.998    -0.025     1.001     0.058
   58484.421728   833.996     1.005     0.009     0.998    -0.011     1.001     0.052
   58484.577475   838.166     1.005     0.009     0.998     0.002     1.001     0.046
   58484.965400   842.357     1.005     0.010     0.998     0.016     1.001     0.040
   58485.108562   846.568     1.005     0.011     0.998     0.030     1.001     0.034
   58485.068628   850.801     1.005     0.011     0.998     0.043     1.001     0.028
   58484.640936   855.055     1.005     0.012     0.998     0.057     1.001     0.021
   58485.128846   859.331     1.004     0.012     0.998     0.071     1.001     0.015
   58484.653916   863.627     1.004     0.013     0.998     0.084     1.001     0.008
   58484.742066   867.945     1.004     0.013     0.998     0.098     1.001     0.002
   58485.163158   872.285     1.004     0.014     0.998     0.111     1.001    -0.005
   58485.066300   876.647     1.004     0.015     0.998     0.125     1.001    -0.011
   58485.265890   881.030     1.004     0.015     0.998     0.138     1.001    -0.018
   58485.074280   885.435     1.004     0.016     0.998     0.151     1.001    -0.024
   58484.984975   889.862     1.004     0.016     0.998     0.165     1.001    -0.031
   58484.510341   894.311     1.004     0.017     0.998     0.177     1.001    -0.037
   58484.784382   898.783     1.004     0.018     0.998     0.190     1.001    -0.044
   58484.681869   903.277     1.004     0.018     0.999     0.203     1.001    -0.050
   58484.660656   907.793     1.004     0.019     0.999     0.215     1.001    -0.057
   58485.389677   912.332     1.003     0.020     0.999     0.227     1.001    -0.063
   58484.809764   916.894     1.003     0.020     0.999     0.239     1.001    -0.070
   58485.308713   921.478     1.003     0.021     0.999     0.251     1.001    -0.076
   58485.047805   926.086     1.003     0.022     0.999     0.262     1.001    -0.082
   58485.211478   930.716     1.003     0.022     0.999     0.274     1.001    -0.088
   58484.919304   935.370     1.003     0.023     0.999     0.285     1.001    -0.095
   58484.993571   940.047     1.003     0.023     0.999     0.296     1.001    -0.101
   58484.909184   944.747     1.003     0.024     0.999     0.307     1.001    -0.107
   58484.611910   949.471     1.003     0.025     0.999     0.317     1.001    -0.113
   58485.139119   954.218     1.003     0.025     0.999     0.327     1.001    -0.119
   58484.697439   958.989     1.003     0.026     0.999     0.337     1.001    -0.124
   58484.440983   963.784     1.003     0.027     0.999     0.347     1.000    -0.130
   58485.062139   968.603     1.003     0.027     0.999     0.356     1.000    -0.136
   58484.593777   973.446     1.003     0.028     0.999     0.366     1.000    -0.141
   58485.357125   978.313     1.003     0.028     0.999     0.375     1.000    -0.146
   58485.370595   983.205     1.003     0.029     0.999     0.383     1.000    -0.152
   58485.331531   988.121     1.003     0.030     0.999     0.392     1.000    -0.157
   58484.786825   993.061     1.003     0.030     0.999     0.400     1.000    -0.162
   58484.432123   998.027     1.003     0.031     0.999     0.408     1.000    -0.167
   58485.344985  1003.017     1.003     0.031     0.999     0.416     1.000    -0.172
   58484.844851  1008.032     1.003     0.032     0.999     0.423     1.000    -0.177
   58485.383321  1013.072     1.003     0.032     0.999     0.431     1.000    -0.181
   58485.380287  1018.137     1.003     0.033     0.999     0.438     1.000    -0.186
   58485.269676  1023.228     1.003     0.034     0.999     0.444     1.000    -0.190
   58484.711116  1028.344     1.003     0.034     1.000     0.451     1.000    -0.194
   58484.801764  1033.486     1.003     0.035     1.000     0.457     1.000    -0.198
   58485.267803  1038.653     1.003     0.035     1.000     0.463     1.000    -0.202
   58484.733589  1043.847     1.003     0.036     1.000     0.469     1.000    -0.206
   58484.586159  1049.066     1.003     0.036     1.000     0.474     1.000    -0.210
   58484.973468  1054.311     1.003     0.036     1.000     0.480     1.000    -0.214
   58485.352821  1059.583     1.003     0.037     1.000     0.485     1.000    -0.217
   58485.112696  1064.881     1.002     0.037     1.000     0.490     1.000    -0.221
   58484.986728  1070.205     1.002     0.038     1.000     0.494     1.000    -0.224
   58484.513843  1075.556     1.002     0.038     1.000     0.499     1.000    -0.227
   58485.031674  1080.934     1.002     0.038     1.000     0.503     1.000    -0.230
   58485.406721  1086.339     1.002     0.039     1.000     0.507     1.000    -0.233
   58484.556751  1091.770     1.002     0.039     1.000     0.511     1.000    -0.236
   58484.934996  1097.229     1.002     0.040     1.000     0.515     1.000    -0.238
   58485.294040  1102.715     1.002     0.040     1.000     0.518     1.000    -0.241
   58485.157435  1108.229     1.002     0.040     1.000     0.522     1.000    -0.244
   58485.113682  1113.770     1.002     0.040     1.000     0.525     1.000    -0.246
   58485.119151  1119.339     1.002     0.041     1.000     0.528     1.000    -0.248
   58484.776158  1124.935     1.002     0.041     1.000     0.530     1.000    -0.250
   58484.710259  1130.560     1.002     0.041     1.000     0.533     1.000    -0.252
   58485.226028  1136.213     1.002     0.042     1.000     0.536     1.000    -0.254
   58485.226780  1141.894     1.002     0.042     1.000     0.538     1.000    -0.256
   58485.283739  1147.604     1.002     0.042     1.000     0.540     1.000    -0.258
   58485.329907  1153.342     1.002     0.042     1.000     0.542     1.000    -0.260
   58484.928009  1159.108     1.002     0.042     1.000     0.544     1.000    -0.261
   58484.918183  1164.904     1.002     0.043     1.000     0.545     1.000    -0.263
   58485.214962  1170.728     1.002     0.043     1.000     0.547     1.000    -0.264
   58485.066631  1176.582     1.002     0.043     1.000     0.548     1.000    -0.265
   58485.118634  1182.465     1.002     0.043     1.000     0.550     1.000    -0.267
   58485.212459  1188.377     1.002     0.043     1.000     0.551     1.000    -0.268
   58485.306672  1194.319     1.002     0.043     1.000     0.552     1.000    -0.269
   58484.754662  1200.291     1.002     0.044     1.001     0.553     1.000    -0.270
   58484.792250  1206.292     1.002     0.044     1.001     0.554     1.000    -0.271
   58484.510649  1212.324     1.002     0.044     1.001     0.554     1.000    -0.272
   58484.994947  1218.385     1.002     0.044     1.001     0.555     1.000    -0.272
   58484.452609  1224.477     1.002     0.044     1.001     0.555     1.000    -0.273
   58484.882265  1230.599     1.002     0.044     1.001     0.556     1.000    -0.274
   58484.959311  1236.752     1.002     0.044     1.001     0.556     1.000    -0.274
   58484.703208  1242.936     1.002     0.044     1.001     0.556     1.000    -0.275
   58485.007500  1249.151     1.002     0.044     1.001     0.556     1.000    -0.275
   58484.447167  1255.397     1.002     0.044     1.001     0.557     1.000    -0.276
   58484.454015  1261.674     1.002     0.044     1.001     0.556     1.000    -0.276
   58485.239267  1267.982     1.002     0.044     1.001     0.556     1.000    -0.276
   58484.776857  1274.322     1.002     0.044     1.001     0.556     1.000    -0.277
   58484.543727  1280.694     1.002     0.044     1.001     0.556     1.000    -0.277
   58484.938910  1287.097     1.002     0.044     1.001     0.556     1.000    -0.277
   58485.186660  1293.533     1.002     0.044     1.001     0.555     1.000    -0.277
   58484.632488  1300.000     1.002     0.044     1.001     0.555     0.999    -0.277
   58485.039557  1306.500     1.002     0.044     1.001     0.554     0.999    -0.277
   58484.502014  1313.033     1.002     0.044     1.001     0.554     0.999    -0.277
   58484.468348  1319.598     1.002     0.044     1.001     0.553     0.999    -0.277
   58484.948021  1326.196     1.002     0.044     1.001     0.552     0.999    -0.277
   58484.957302  1332.827     1.002     0.044     1.001     0.551     0.999    -0.277
   58485.054097  1339.491     1.002     0.044     1.001     0.550     0.999    -0.276
   58485.142758  1346.188     1.002     0.044     1.001     0.550     0.999    -0.276
   58485.392519  1352.919     1.002     0.044     1.001     0.549     0.999    -0.276
   58484.932967  1359.684     1.002     0.044     1.001     0.548     0.999    -0.276
   58484.739623  1366.482     1.002     0.044     1.001     0.547     0.999    -0.275
   58485.211853  1373.315     1.002     0.044     1.001     0.546     0.999    -0.275
   58484.687499  1380.181     1.002     0.044     1.001     0.544     0.999    -0.275
   58484.855638  1387.082     1.002     0.044     1.001     0.543     0.999    -0.274
   58484.495123  1394.018     1.002     0.044     1.001     0.542     0.999    -0.274
   58484.442017  1400.988     1.002     0.044     1.001     0.541     0.999    -0.273
   58485.379315  1407.993     1.002     0.044     1.001     0.539     0.999    -0.273
   58485.252647  1415.033     1.002     0.044     1.001     0.538     0.999    -0.272
   58485.112641  1422.108     1.002     0.043     1.001     0.537     0.999    -0.271
   58484.825620  1429.218     1.002     0.043     1.001     0.535     0.999    -0.271
   58484.589961  1436.364     1.002     0.043     1.001     0.534     0.999    -0.270
   58484.573104  1443.546     1.002     0.043     1.001     0.532     0.999    -0.270
   58484.666910  1450.764     1.002     0.043     1.001     0.531     0.999    -0.269
   58484.965893  1458.018     1.002     0.043     1.001     0.529     0.999    -0.268
   58485.131263  1465.308     1.002     0.043     1.001     0.527     0.999    -0.267
   58485.076864  1472.634     1.002     0.043     1.001     0.526     0.999    -0.267
   58484.696601  1479.998     1.002     0.043     1.001     0.524     0.999    -0.266
   58485.371532  1487.398     1.002     0.043     1.001     0.522     0.999    -0.265
   58485.154564  1494.835     1.002     0.042     1.001     0.521     0.999    -0.264
   58484.971021  1502.309     1.002     0.042     1.001     0.519     0.999    -0.264
   58485.028387  1509.820     1.002     0.042     1.001     0.517     0.999    -0.263
   58484.836267  1517.369     1.002     0.042     1.001     0.516     0.999    -0.262
   58484.664398  1524.956     1.002     0.042     1.001     0.514     0.999    -0.261
   58484.772639  1532.581     1.002     0.042     1.001     0.512     0.999    -0.260
   58485.174513  1540.244     1.002     0.042     1.001     0.510     0.999    -0.259
   58484.431060  1547.945     1.002     0.041     1.001     0.508     0.999    -0.258
   58484.532739  1555.685     1.002     0.041     1.001     0.506     0.999    -0.258
   58484.462669  1563.463     1.002     0.041     1.001     0.505     0.999    -0.257
   58484.457395  1571.281     1.002     0.041     1.001     0.503     0.999    -0.256
   58485.272127  1579.137     1.002     0.041     1.001     0.501     0.999    -0.255
   58485.120325  1587.033     1.002     0.041     1.001     0.499     0.999    -0.254
   58484.890840  1594.968     1.002     0.041     1.001     0.497     0.999    -0.253
   58484.514501  1602.943     1.002     0.040     1.001     0.495     0.999    -0.252
   58484.908283  1600.000     1.002     0.041     1.001     0.496     0.999    -0.252
   58484.890138  1632.000     1.002     0.040     1.001     0.488     0.999    -0.249
   58484.589869  1664.640     1.001     0.039     1.001     0.481     0.999    -0.245
   58484.850518  1697.933     1.001     0.039     1.001     0.474     0.999    -0.241
   58484.815171  1731.891     1.001     0.038     1.002     0.466     0.999    -0.237
   58485.032517  1766.529     1.001     0.038     1.002     0.458     0.999    -0.233
   58485.051760  1801.860     1.001     0.037     1.002     0.451     0.999    -0.230
   58484.461971  1837.897     1.001     0.036     1.002     0.443     0.999    -0.226
   58484.791279  1874.655     1.001     0.036     1.002     0.435     0.999    -0.222
   58485.042527  1912.148     1.001     0.035     1.002     0.428     0.999    -0.218
   58484.919803  1950.391     1.001     0.035     1.002     0.421     0.999    -0.214
   58485.273157  1989.399     1.001     0.034     1.002     0.415     0.999    -0.211
   58485.075360  2029.187     1.001     0.034     1.002     0.409     0.999    -0.208
   58484.579601  2069.771     1.001     0.033     1.002     0.404     0.999    -0.206
   58484.487235  2111.166     1.001     0.033     1.002     0.398     0.999    -0.203
   58485.059086  2153.389     1.001     0.032     1.002     0.393     0.999    -0.200
   58484.443178  2196.457     1.001     0.032     1.002     0.387     0.999    -0.197
   58485.002442  2240.386     1.001     0.031     1.002     0.382     0.999    -0.194
   58485.356897  2285.194     1.001     0.031     1.002     0.377     0.999    -0.192
   58484.992141  2330.898     1.001     0.030     1.002     0.371     0.999    -0.189
   58484.804837  2377.516     1.001     0.030     1.002     0.366     0.999    -0.186
   58485.059955  2425.066     1.001     0.029     1.002     0.361     0.999    -0.184
   58484.874920  2473.567     1.001     0.029     1.002     0.356     0.999    -0.181
   58484.962283  2523.039     1.001     0.028     1.002     0.351     0.999    -0.179
   58485.358131  2573.500     1.001     0.028     1.002     0.346     0.999    -0.176
   58484.802769  2624.970     1.001     0.028     1.002     0.341     0.999    -0.174
   58485.377857  2677.469     1.001     0.027     1.002     0.337     0.999    -0.171
   58485.322017  2731.018     1.001     0.027     1.002     0.332     0.999    -0.169
   58484.612458  2785.639     1.001     0.026     1.002     0.328     0.999    -0.166
   58484.486028  2841.352     1.001     0.026     1.002     0.323     0.999    -0.164
   58484.517445  2898.179     1.001     0.026     1.002     0.319     0.999    -0.162
   58484.434888  2956.142     1.001     0.025     1.002     0.314     0.999    -0.160
   58484.511110  3015.265     1.001     0.025     1.002     0.310     0.999    -0.157
   58485.099673  3075.570     1.001     0.024     1.002     0.306     0.999    -0.155
   58484.487855  3137.082     1.001     0.024     1.002     0.302     0.999    -0.153
   58484.735642  3199.823     1.001     0.024     1.002     0.297     0.999    -0.151
   58485.261542  3263.820     1.001     0.023     1.002     0.293     0.999    -0.149
   58484.439939  3329.096     1.001     0.023     1.002     0.289     0.999    -0.147
   58485.231135  3395.678     1.001     0.023     1.002     0.286     0.999    -0.145
   58484.698521  3463.592     1.001     0.022     1.002     0.282     0.999    -0.143
   58484.534831  3532.863     1.001     0.022     1.002     0.278     0.999    -0.141
   58485.113404  3603.521     1.001     0.022     1.002     0.274     0.999    -0.139
   58485.045610  3675.591     1.001     0.021     1.002     0.271     0.999    -0.137
   58485.294139  3749.103     1.001     0.021     1.002     0.267     0.999    -0.135
   58485.151738  3824.085     1.001     0.021     1.002     0.264     0.999    -0.134
   58485.220148  3900.567     1.001     0.021     1.002     0.260     0.999    -0.132
