sector1,1A1
sector2,1A2, 1A4, 1A5
sector3,1A3
sector4,1B, 1C
sector5,2A, 2B
sector6,2C, 2D, 2H
sector7,2E, 2F, 2G
sector8,3A, 3B
sector9,3C-3J
sector10,LULUCF
sector11,5A-5E
sector12,6
sector13,Reference approach
