time_period,GDP,Consumption,Government,Investment,Exports,Imports
1991-01-01,20063.30248193252,14788.429997664769,2580.753099133239,3419.5696103302,5974.031251639043,7040.420381417951
1991-04-01,20269.164564685587,14771.746757820642,2614.2719185908863,3473.0108281203557,6856.438143847154,7755.150194571841
1991-07-01,20374.26806792628,14809.52904690822,2671.206847782278,3373.3778130457354,6843.050498780121,7813.769784229993
1991-10-01,21251.131999894365,15284.703508388822,2712.554153634701,3701.7623367979445,7717.411946173635,8538.534055747254
1992-01-01,21628.430577227613,16110.477173857535,2684.959461777069,4020.3524356531384,7893.709112376324,8714.332119432049
1992-04-01,22086.964005458514,16209.113788647488,2661.957029920678,4116.78957131671,7872.010818499775,8778.382250616844
1992-07-01,23036.837878885814,16468.52356270934,2659.473324126769,4804.66479560964,8096.10697457624,9489.412245966427
1992-10-01,22762.590474842877,16379.174139139395,2695.136211184387,4428.265985951779,7704.277449255844,9554.95740352624
1993-01-01,23500.91663294736,18055.025631798635,3001.8821683160677,4896.993188839053,8937.46173001612,11118.729027888465
1993-04-01,23693.772372678057,17439.53903697851,2976.066522988538,4833.165494446403,8252.152623792179,10292.179065506645
1993-07-01,24194.80131918089,17561.53106233417,3030.3652604447925,4859.976242952151,8747.083067595091,10274.035226140255
1993-10-01,24435.87855940383,17230.81948968093,3048.1717594543134,5017.413336983137,8771.57121051326,10038.155124930921
1994-01-01,24417.29937942576,17237.727324451986,3072.289091806538,4632.793638378151,8640.82490667408,10105.947330908642
1994-04-01,25142.05613347595,17879.42820238939,3278.348548314579,5120.720996277728,8828.689963791587,10504.739456173362
1994-07-01,25342.420576348923,18337.79643797219,3368.463538520325,5306.239467826678,9499.581929171758,11020.652138710882
1994-10-01,25267.801234057602,18552.09782711634,3461.1302546783877,5045.051864047691,9321.681653854706,10831.75031404182
1995-01-01,26142.04885800602,17685.253953299223,3252.8966651440396,5504.458039683001,9410.412988497854,10746.028031261518
1995-04-01,26017.766432254863,18977.423618419645,3463.2601792268283,5144.426036939836,10328.959621948508,10831.171019272535
1995-07-01,25984.590766209967,19142.102347458323,3480.4368854634554,5339.669979812477,10657.414653350967,11657.980217617802
1995-10-01,26067.0269362473,18135.407711138574,3281.592827973394,4829.065019502441,9873.79554999593,10637.405225342865
