Metabolite,Compartment,Distribution
bigg.metabolite:adp,c,LogNormal|-7.9052611071087115|0.044228544616428805
bigg.metabolite:amp,c,LogNormal|-8.140760163754798|0.012593698689277446
bigg.metabolite:atp,c,LogNormal|-6.205705772019842|0.017281081929268357
bigg.metabolite:glu__L,c,LogNormal|-3.6588526089596694|0.02990411492786974
bigg.metabolite:gln__L,c,LogNormal|-6.137982401771963|0.035123751186386304
bigg.metabolite:asn__L,c,LogNormal|-8.22465198457463|0.06503172781857491
bigg.metabolite:asp__L,c,LogNormal|-6.721427736489159|0.050811645751933594
bigg.metabolite:tyr__L,c,LogNormal|-9.757746756390556|0.08045542577751215
bigg.metabolite:arg__L,c,LogNormal|-6.316951110966208|0.3359424417412883
bigg.metabolite:ade,c,LogNormal|-11.033164260908732|0.17482876424679233
bigg.metabolite:phe__L,c,LogNormal|-9.573031951991705|0.14229872803761012
bigg.metabolite:gdp,c,LogNormal|-8.516882375653477|0.07475217212410477
bigg.metabolite:gmp,c,LogNormal|-9.75713334387422|1.192482823470682
bigg.metabolite:gtp,c,LogNormal|-6.970161925865423|0.0414237989041855
bigg.metabolite:nad,c,LogNormal|-6.303502763233223|0.027715990596245462
bigg.metabolite:nadh,c,LogNormal|-10.551390957296853|0.05908755020230933
bigg.metabolite:nadp,c,LogNormal|-11.92015572032627|0.039728516366313804
bigg.metabolite:nadph,c,LogNormal|-9.179400865636136|0.19288868812347337
bigg.metabolite:13dpg,c,LogNormal|-10.021297651269267|0.18198818308501666
bigg.metabolite:2ddg6p,c,LogNormal|-11.063364597640764|0.10043501680478142
bigg.metabolite:f6p,c,LogNormal|-8.290490740308421|0.059913856184397554
bigg.metabolite:dhap,c,LogNormal|-6.862373534682349|0.12411546974047015
bigg.metabolite:g6p,c,LogNormal|-7.527620045276922|0.18758614720280864
bigg.metabolite:6pgc,c,LogNormal|-6.982697555197994|0.05030749163537445
bigg.metabolite:pep,c,LogNormal|-8.104955317438456|0.18708800764533828
bigg.metabolite:pyr,c,LogNormal|-7.292774900214911|0.9054127310891529
bigg.metabolite:fdp,c,LogNormal|-7.226521258370846|0.020401089466761183
bigg.metabolite:e4p,c,LogNormal|-10.917442544111333|0.06504267264438335
bigg.metabolite:r5p,c,LogNormal|-8.29625130775296|0.06564677408076104
bigg.metabolite:ru5p__D,c,LogNormal|-7.24219203595062|0.2510750676187869
bigg.metabolite:s7p,c,LogNormal|-5.177946411430496|0.1723027739335829
bigg.metabolite:xu5p__D,c,LogNormal|-7.435969269100339|0.08164352100540546
bigg.metabolite:cit,c,LogNormal|-7.640798095761403|0.08818859020379377
bigg.metabolite:akg,c,LogNormal|-7.727478766421126|1.2078258650944242
bigg.metabolite:fum,c,LogNormal|-7.610487548889587|0.16874212855200016
bigg.metabolite:icit,c,LogNormal|-11.792418035309707|0.10936399345508976
bigg.metabolite:mal__L,c,LogNormal|-6.704186021729401|0.03433482096577316
bigg.metabolite:succ,c,LogNormal|-7.1576248479280284|0.10952294439937274
bigg.metabolite:camp,c,LogNormal|-13.366803973650311|0.2993499568227794
bigg.metabolite:f1p,c,LogNormal|-9.542768728199658|0.056544351925808096
bigg.metabolite:gal1p,c,LogNormal|-10.839284159289289|0.1010465602141382
bigg.metabolite:glyc3p,c,LogNormal|-9.244431424665482|0.10782098413402261
,c,LogNormal|-8.358485562929|2.0031220490567656
,p,LogNormal|-8.358485562929|10.015610245283828
,e,LogNormal|-8.358485562929|10.015610245283828
,,LogNormal|-8.358485562929|2.0031220490567656
