Metabolite,Compartment,Distribution
bigg.metabolite:adp,c,LogNormal|-7.41092301124152|0.012095560611996639
bigg.metabolite:amp,c,LogNormal|-7.637112693027004|0.05111768905427035
bigg.metabolite:atp,c,LogNormal|-5.669630506741357|0.019610037178501096
bigg.metabolite:glu__L,c,LogNormal|-3.4850747613123487|0.01592970203970799
bigg.metabolite:gln__L,c,LogNormal|-6.019984503386889|0.010076931736764409
bigg.metabolite:asn__L,c,LogNormal|-7.888771467856153|0.025104967882852883
bigg.metabolite:asp__L,c,LogNormal|-6.572770422457247|0.04200859145370229
bigg.metabolite:tyr__L,c,LogNormal|-9.38876092379711|0.040749525061204786
bigg.metabolite:arg__L,c,LogNormal|-5.951922567002313|0.22545993281421667
bigg.metabolite:ade,c,LogNormal|-11.209788858385341|0.7560130644214224
bigg.metabolite:phe__L,c,LogNormal|-9.113703398120553|0.07892732685052224
bigg.metabolite:gdp,c,LogNormal|-8.005672857071232|0.009763320857504178
bigg.metabolite:gmp,c,LogNormal|-8.661382485294677|0.45735895435783247
bigg.metabolite:gtp,c,LogNormal|-6.594231383337068|0.05065600641658793
bigg.metabolite:nad,c,LogNormal|-6.159734923994238|0.057879321027640575
bigg.metabolite:nadh,c,LogNormal|-10.504415508898653|0.048324583566954786
bigg.metabolite:nadp,c,LogNormal|-11.391752758576487|0.02947843379410275
bigg.metabolite:nadph,c,LogNormal|-9.080263713972101|0.08088645455055544
bigg.metabolite:13dpg,c,LogNormal|-9.887727967132216|0.0376256701543979
bigg.metabolite:2ddg6p,c,LogNormal|-11.37258991650552|0.07178443038663065
bigg.metabolite:f6p,c,LogNormal|-7.998496948964369|0.08694800174716304
bigg.metabolite:dhap,c,LogNormal|-6.629904727911133|0.06545792659983841
bigg.metabolite:g6p,c,LogNormal|-6.959932472528733|0.01881648327775876
bigg.metabolite:6pgc,c,LogNormal|-8.185953155071152|0.16880409562536097
bigg.metabolite:pep,c,LogNormal|-7.948595820771066|0.29184334339606577
bigg.metabolite:pyr,c,LogNormal|-6.567608314023729|0.27380910958676696
bigg.metabolite:fdp,c,LogNormal|-6.758509650250082|0.0194593293725701
bigg.metabolite:e4p,c,LogNormal|-10.533217190959165|0.011794336762382876
bigg.metabolite:r5p,c,LogNormal|-8.376437119461373|0.3741959308768532
bigg.metabolite:ru5p__D,c,LogNormal|-7.325157323366923|0.057150495312793835
bigg.metabolite:s7p,c,LogNormal|-5.62784466902967|0.0070404820856802995
bigg.metabolite:xu5p__D,c,LogNormal|-7.427597634475304|0.07371806922552811
bigg.metabolite:cit,c,LogNormal|-7.260349277250241|0.09343587716556878
bigg.metabolite:akg,c,LogNormal|-7.3588216002214315|0.15013479111636882
bigg.metabolite:fum,c,LogNormal|-7.508793309178195|0.16535554034254618
bigg.metabolite:icit,c,LogNormal|-11.716159535723428|0.2631576050395596
bigg.metabolite:mal__L,c,LogNormal|-6.385786504005731|0.043077552058487886
bigg.metabolite:succ,c,LogNormal|-6.737737959031953|0.171769232667089
bigg.metabolite:camp,c,LogNormal|-13.261868473861044|0.3311207317767886
bigg.metabolite:f1p,c,LogNormal|-8.950566457903417|0.08096170185774776
bigg.metabolite:gal1p,c,LogNormal|-10.854894899504783|0.20700489229896396
bigg.metabolite:glyc3p,c,LogNormal|-9.139193070782|0.09726157636060084
,c,LogNormal|-8.358485562929|2.0031220490567656
,p,LogNormal|-8.358485562929|10.015610245283828
,e,LogNormal|-8.358485562929|10.015610245283828
,,LogNormal|-8.358485562929|2.0031220490567656
