Metabolite,Compartment,Distribution
bigg.metabolite:adp,c,LogNormal|-7.85664009226727|0.02342830420067725
bigg.metabolite:amp,c,LogNormal|-8.072128521141716|0.07820030099590881
bigg.metabolite:atp,c,LogNormal|-6.099176165573797|0.04093508351445119
bigg.metabolite:glu__L,c,LogNormal|-3.8127042090748473|0.037205709530372805
bigg.metabolite:gln__L,c,LogNormal|-6.105978752976032|0.07785246645681529
bigg.metabolite:asn__L,c,LogNormal|-8.214092433415354|0.08046542596132981
bigg.metabolite:asp__L,c,LogNormal|-6.459367694784773|0.033131182265303406
bigg.metabolite:tyr__L,c,LogNormal|-9.185439683977613|0.14470397190533454
bigg.metabolite:arg__L,c,LogNormal|-4.1893880255332725|0.32135061617309374
bigg.metabolite:ade,c,LogNormal|-11.906777281736833|0.05131176579434742
bigg.metabolite:phe__L,c,LogNormal|-9.65839898325873|0.20226226214273188
bigg.metabolite:gdp,c,LogNormal|-8.711106996093752|0.056277842430676746
bigg.metabolite:gmp,c,LogNormal|-10.058769463916445|1.051744075462659
bigg.metabolite:gtp,c,LogNormal|-7.2088207319987|0.06504466952930736
bigg.metabolite:nad,c,LogNormal|-5.749525778539767|0.022580454462006676
bigg.metabolite:nadh,c,LogNormal|-10.731179568669662|3.5395878562638434
bigg.metabolite:nadp,c,LogNormal|-11.377677360936577|0.058801123804684295
bigg.metabolite:nadph,c,LogNormal|-9.527921836939607|0.7115889588834304
bigg.metabolite:13dpg,c,LogNormal|-10.082103416537096|0.1925759945170995
bigg.metabolite:2ddg6p,c,LogNormal|-12.075401330985448|0.12836544688916351
bigg.metabolite:f6p,c,LogNormal|-8.493105443459493|0.10501967882565821
bigg.metabolite:dhap,c,LogNormal|-7.315918481446314|0.05115085680021773
bigg.metabolite:g6p,c,LogNormal|-7.8524980566421725|0.027835845108566147
bigg.metabolite:6pgc,c,LogNormal|-9.122680649588984|0.0431727852426111
bigg.metabolite:pep,c,LogNormal|-8.314594949292893|0.11311275119293335
bigg.metabolite:pyr,c,LogNormal|-5.804066375790043|0.20095331840494485
bigg.metabolite:fdp,c,LogNormal|-8.22870205805689|0.04096816890817156
bigg.metabolite:e4p,c,LogNormal|-10.601697267941363|0.009009750122038208
bigg.metabolite:r5p,c,LogNormal|-10.16985448945308|0.12753319471980892
bigg.metabolite:ru5p__D,c,LogNormal|-8.878548999825167|0.10844338651410752
bigg.metabolite:s7p,c,LogNormal|-6.831446894831939|0.06105995567867818
bigg.metabolite:xu5p__D,c,LogNormal|-8.9937319340601|0.155121116106749
bigg.metabolite:cit,c,LogNormal|-6.716813644572043|0.0481113386475682
bigg.metabolite:akg,c,LogNormal|-8.286206769169755|0.1709168396517981
bigg.metabolite:fum,c,LogNormal|-7.412096633894507|0.028999074976806986
bigg.metabolite:icit,c,LogNormal|-10.094063682463865|0.04825791715150807
bigg.metabolite:mal__L,c,LogNormal|-6.388954435997809|0.07495410826878214
bigg.metabolite:succ,c,LogNormal|-6.973295022875512|0.2576339399613978
bigg.metabolite:camp,c,LogNormal|-12.3108071343748|0.14525785994082246
bigg.metabolite:f1p,c,LogNormal|-10.74740764026095|0.17004951591243136
bigg.metabolite:gal1p,c,LogNormal|-10.936179177862673|0.02633766843245946
bigg.metabolite:glyc3p,c,LogNormal|-8.38006685838567|0.5456544410009887
,c,LogNormal|-8.358485562929|2.0031220490567656
,p,LogNormal|-8.358485562929|10.015610245283828
,e,LogNormal|-8.358485562929|10.015610245283828
,,LogNormal|-8.358485562929|2.0031220490567656
